d001.s017.t017_d001.s017.t017 bn:00000902n
d002.s048.t010_d002.s048.t010 bn:00077174n
d003.s013.t007_d003.s013.t007 bn:00047238n
d001.s024.t019_d001.s024.t019 bn:00031085n
d003.s022.t002_d003.s022.t002 bn:00023236n
d003.s022.t002_d003.s022.t003 bn:00208447n
d001.s015.t020_d001.s015.t020 bn:00043545n
d001.s025.t004_d001.s025.t004 bn:00007985n
d001.s026.t019_d001.s026.t019 bn:00007985n
d001.s028.t031_d001.s028.t031 bn:00007985n
d001.s031.t009_d001.s031.t009 bn:00007985n
d001.s037.t007_d001.s037.t007 bn:00007985n
d003.s006.t012_d003.s006.t012 bn:00007985n
d003.s007.t002_d003.s007.t002 bn:00007985n
d003.s011.t017_d003.s011.t017 bn:00007985n
d003.s012.t003_d003.s012.t003 bn:00007985n
d003.s014.t002_d003.s014.t002 bn:00007985n
d004.s002.t034_d004.s002.t034 bn:00007985n
d004.s014.t004_d004.s014.t004 bn:00007985n
d004.s015.t008_d004.s015.t008 bn:00007985n
d004.s016.t008_d004.s016.t008 bn:00007985n
d004.s017.t005_d004.s017.t005 bn:00007985n
d003.s011.t017_d003.s011.t019 bn:02395950n
d003.s012.t003_d003.s012.t005 bn:02395950n
d003.s005.t030_d003.s005.t030 bn:00053403n
d003.s009.t008_d003.s009.t008 bn:00053403n
d002.s034.t004_d002.s034.t004 bn:00032395n
d002.s049.t006_d002.s049.t006 bn:01757412n
d004.s009.t019_d004.s009.t019 bn:00054128n
d001.s003.t034_d001.s003.t034 bn:00004992n
d001.s023.t024_d001.s023.t024 bn:00061898n
d001.s024.t011_d001.s024.t011 bn:00035908n
d003.s010.t025_d003.s010.t025 bn:00041853n
d003.s016.t020_d003.s016.t020 bn:00041853n
d002.s009.t013_d002.s009.t013 bn:00036821n
d002.s017.t010_d002.s017.t010 bn:00036821n
d002.s019.t009_d002.s019.t009 bn:00036821n
d002.s020.t019_d002.s020.t019 bn:00036821n
d002.s022.t007_d002.s022.t007 bn:00036821n
d002.s026.t010_d002.s026.t010 bn:00036821n
d002.s028.t021_d002.s028.t021 bn:00036821n
d002.s047.t033_d002.s047.t033 bn:00036821n
d002.s048.t016_d002.s048.t016 bn:00036821n
d002.s049.t005_d002.s049.t005 bn:00036821n
d002.s050.t005_d002.s050.t005 bn:00036821n
d003.s001.t002_d003.s001.t002 bn:00061947n
d003.s005.t002_d003.s005.t002 bn:00061947n
d003.s006.t002_d003.s006.t002 bn:00061947n
d003.s016.t002_d003.s016.t002 bn:00061947n
d002.s040.t002_d002.s040.t002 bn:00036957n
d001.s029.t006_d001.s029.t006 bn:00848690n
d001.s036.t021_d001.s036.t021 bn:00041942n
d003.s002.t011_d003.s002.t011 bn:00008280n
d002.s002.t001_d002.s002.t003 bn:00058218n
d002.s044.t011_d002.s044.t011 bn:00045087n
d003.s008.t016_d003.s008.t016 bn:00081661n
d003.s008.t002_d003.s008.t002 bn:00046576n
d001.s003.t004_d001.s003.t004 bn:00046705n
d001.s004.t004_d001.s004.t004 bn:00046705n
d001.s001.t008_d001.s001.t008 bn:00067181n
d003.s010.t003_d003.s010.t003 bn:00067181n
d004.s002.t008_d004.s002.t008 bn:00067181n
d002.s038.t003_d002.s038.t003 bn:00026980n
d002.s041.t003_d002.s041.t003 bn:00026980n
d003.s002.t036_d003.s002.t036 NO_MATCH
d003.s007.t014_d003.s007.t014 NO_MATCH
d003.s017.t010_d003.s017.t010 NO_MATCH
d003.s002.t036_d003.s002.t037 bn:01623772n
d003.s007.t014_d003.s007.t015 bn:01623772n
d003.s017.t010_d003.s017.t011 bn:01623772n
d001.s017.t027_d001.s017.t027 bn:00046787n
d004.s010.t026_d004.s010.t026 bn:00046787n
d004.s010.t029_d004.s010.t029 bn:00046787n
d003.s009.t012_d003.s009.t012 bn:00050522n
d003.s019.t009_d003.s019.t009 bn:00067457n
d002.s037.t002_d002.s037.t002 bn:00049538n
d004.s015.t014_d004.s015.t014 bn:00049551n
d002.s001.t009_d002.s001.t009 bn:00049910n
d002.s001.t009_d002.s001.t011 bn:00053492n
d004.s006.t014_d004.s006.t014 bn:00003057n
d002.s032.t004_d002.s032.t004 bn:00051508n
d004.s006.t007_d004.s006.t007 bn:00051872n
d003.s010.t036_d003.s010.t036 bn:00062699n
d003.s018.t003_d003.s018.t003 bn:00062699n
d001.s014.t010_d001.s014.t010 bn:00027976n
d004.s004.t006_d004.s004.t006 NO_MATCH
d004.s006.t020_d004.s006.t020 NO_MATCH
d001.s024.t039_d001.s024.t039 bn:00053801n
d002.s010.t023_d002.s010.t023 bn:03313895n
d001.s033.t010_d001.s033.t010 bn:00007449n
d001.s002.t009_d001.s002.t009 bn:00054128n
d001.s002.t023_d001.s002.t023 bn:00054128n
d001.s010.t010_d001.s010.t010 bn:00054128n
d001.s010.t064_d001.s010.t064 bn:00054128n
d001.s012.t002_d001.s012.t002 bn:00054128n
d001.s023.t012_d001.s023.t012 bn:00054128n
d001.s023.t016_d001.s023.t016 bn:00054128n
d001.s028.t024_d001.s028.t024 bn:00054128n
d001.s029.t009_d001.s029.t009 bn:00054128n
d001.s034.t019_d001.s034.t019 bn:00054128n
d001.s037.t029_d001.s037.t029 bn:00054128n
d004.s002.t023_d004.s002.t023 bn:00054128n
d004.s002.t048_d004.s002.t048 bn:00054128n
d004.s017.t026_d004.s017.t026 bn:00054128n
d004.s019.t012_d004.s019.t012 bn:00054128n
d004.s023.t010_d004.s023.t010 bn:00054128n
d001.s033.t013_d001.s033.t013 bn:00014710n
d001.s033.t028_d001.s033.t028 bn:00014710n
d001.s035.t018_d001.s035.t018 bn:00014710n
d001.s035.t023_d001.s035.t023 bn:00014710n
d001.s036.t018_d001.s036.t018 bn:00014710n
d001.s009.t013_d001.s009.t013 bn:00054512n
d001.s026.t009_d001.s026.t009 bn:00054512n
d001.s032.t011_d001.s032.t011 bn:00054512n
d003.s008.t004_d003.s008.t004 bn:00043479n
d001.s010.t080_d001.s010.t080 bn:00054585n
d001.s028.t041_d001.s028.t041 bn:00054585n
d001.s015.t011_d001.s015.t011 bn:00052501n
d001.s010.t076_d001.s010.t076 bn:00054742n
d001.s028.t010_d001.s028.t010 bn:00054742n
d001.s034.t011_d001.s034.t011 bn:00054742n
d003.s005.t011_d003.s005.t011 bn:00055180n
d001.s016.t013_d001.s016.t013 bn:00055094n
d004.s005.t022_d004.s005.t022 bn:00042601n
d001.s011.t018_d001.s011.t018 bn:00749648n
d002.s013.t010_d002.s013.t010 bn:00056300n
d002.s035.t002_d002.s035.t002 bn:00056688n
d004.s005.t006_d004.s005.t006 bn:00059251n
d001.s024.t027_d001.s024.t027 bn:00008788n
d003.s011.t014_d003.s011.t014 bn:00058443n
d002.s002.t008_d002.s002.t008 bn:00054973n
d002.s023.t003_d002.s023.t003 bn:00054973n
d002.s028.t010_d002.s028.t010 bn:00059129n
d002.s019.t018_d002.s019.t018 bn:00059141n
d002.s020.t009_d002.s020.t009 bn:00059141n
d001.s024.t003_d001.s024.t003 bn:00009677n
d003.s002.t040_d003.s002.t040 bn:00059480n
d003.s007.t024_d003.s007.t024 bn:00059480n
d003.s012.t025_d003.s012.t025 bn:00059480n
d003.s002.t040_d003.s002.t041 bn:00170328n
d003.s015.t027_d003.s015.t027 bn:00007406n
d004.s001.t006_d004.s001.t006 bn:00007096n
d003.s007.t028_d003.s007.t028 bn:00023235n
d003.s011.t009_d003.s011.t009 bn:00023235n
d004.s015.t024_d004.s015.t024 bn:00023235n
d001.s010.t057_d001.s010.t057 bn:00061017n
d001.s011.t020_d001.s011.t020 bn:00061017n
d001.s015.t025_d001.s015.t025 bn:00061017n
d001.s017.t011_d001.s017.t011 bn:00061017n
d001.s019.t015_d001.s019.t015 bn:00061017n
d001.s020.t007_d001.s020.t007 bn:00061017n
d001.s026.t024_d001.s026.t024 bn:00061017n
d001.s028.t035_d001.s028.t035 bn:00061017n
d001.s032.t009_d001.s032.t009 bn:00061017n
d001.s033.t002_d001.s033.t002 bn:00061017n
d001.s036.t002_d001.s036.t002 bn:00061017n
d001.s037.t004_d001.s037.t004 bn:00061017n
d001.s038.t004_d001.s038.t004 bn:00061017n
d003.s002.t022_d003.s002.t022 bn:00017749n
d003.s009.t045_d003.s009.t045 bn:00060708n
d003.s009.t054_d003.s009.t054 bn:00060708n
d001.s010.t051_d001.s010.t051 bn:00060767n
d001.s021.t018_d001.s021.t018 bn:00060767n
d003.s003.t032_d003.s003.t032 bn:00021395n
d003.s006.t023_d003.s006.t023 bn:00030844n
d003.s012.t019_d003.s012.t019 bn:00009656n
d001.s023.t008_d001.s023.t008 bn:00602447n
d001.s024.t006_d001.s024.t006 bn:00602447n
d003.s021.t027_d003.s021.t030 bn:14588708n
d004.s011.t011_d004.s011.t011 bn:00070056n
d004.s022.t022_d004.s022.t024 bn:00061605n
d001.s016.t009_d001.s016.t009 bn:00061571n
d004.s009.t004_d004.s009.t004 bn:00015267n
d004.s015.t012_d004.s015.t012 bn:00015267n
d004.s015.t017_d004.s015.t017 bn:00015267n
d004.s017.t030_d004.s017.t030 bn:00015267n
d004.s018.t005_d004.s018.t005 bn:00015267n
d002.s005.t016_d002.s005.t016 bn:00046516n
d004.s023.t006_d004.s023.t006 bn:00046516n
d003.s013.t012_d003.s013.t012 bn:00035770n
d001.s015.t023_d001.s015.t023 bn:00080831n
d004.s017.t014_d004.s017.t014 bn:00062717n
d004.s017.t033_d004.s017.t033 bn:00062717n
d003.s010.t017_d003.s010.t017 bn:00063330n
d001.s006.t004_d001.s006.t004 bn:00029192n
d002.s014.t005_d002.s014.t005 bn:00063941n
d002.s016.t002_d002.s016.t002 bn:00063941n
d003.s010.t015_d003.s010.t015 bn:00061054n
d001.s020.t009_d001.s020.t009 bn:00064526n
d002.s028.t027_d002.s028.t027 NO_MATCH
d001.s021.t013_d001.s021.t013 bn:00054416n
d002.s046.t003_d002.s046.t003 bn:00021492n
d003.s019.t002_d003.s019.t002 bn:00049573n
d003.s022.t008_d003.s022.t008 bn:00049573n
d001.s009.t021_d001.s009.t021 bn:00052341n
d001.s010.t073_d001.s010.t073 bn:00052341n
d001.s028.t008_d001.s028.t008 bn:00052341n
d001.s029.t036_d001.s029.t036 bn:00052341n
d001.s034.t009_d001.s034.t009 bn:00052341n
d002.s045.t002_d002.s045.t002 bn:00065472n
d001.s010.t062_d001.s010.t062 bn:00018141n
d001.s011.t030_d001.s011.t030 bn:00018141n
d001.s014.t016_d001.s014.t016 bn:00018141n
d001.s026.t029_d001.s026.t029 bn:00018141n
d001.s028.t045_d001.s028.t045 bn:00018141n
d001.s029.t031_d001.s029.t031 bn:00018141n
d001.s035.t007_d001.s035.t007 bn:00018141n
d001.s036.t008_d001.s036.t008 bn:00018141n
d004.s013.t004_d004.s013.t004 bn:00066515n
d001.s012.t007_d001.s012.t007 bn:00031708n
d001.s012.t007_d001.s012.t008 bn:00031708n
d004.s017.t002_d004.s017.t002 bn:00021961n
d001.s021.t008_d001.s021.t008 bn:00000489n
d001.s009.t018_d001.s009.t018 bn:00020185n
d004.s024.t005_d004.s024.t005 bn:00030747n
d002.s043.t002_d002.s043.t002 bn:00068672n
d002.s024.t007_d002.s024.t007 bn:00075652n
d002.s024.t025_d002.s024.t025 bn:00075652n
d003.s018.t014_d003.s018.t015 bn:02708132n
d001.s016.t007_d001.s016.t007 bn:00043484n
d002.s011.t007_d002.s011.t007 bn:00070494n
d003.s003.t025_d003.s003.t025 bn:00070651n
d003.s004.t013_d003.s004.t013 bn:00015106n
d003.s005.t038_d003.s005.t038 bn:00015106n
d003.s020.t008_d003.s020.t008 bn:00037634n
d004.s013.t013_d004.s013.t013 bn:00075759n
d001.s006.t011_d001.s006.t011 bn:00072760n
d004.s004.t016_d004.s004.t016 bn:00072760n
d002.s013.t006_d002.s013.t006 bn:00001296n
d001.s015.t014_d001.s015.t014 bn:00005513n
d001.s015.t014_d001.s015.t015 bn:03551355n
d003.s005.t028_d003.s005.t028 bn:00056025n
d002.s042.t005_d002.s042.t005 bn:00076732n
d002.s042.t013_d002.s042.t013 bn:00076732n
d002.s048.t008_d002.s048.t008 bn:00076732n
d001.s009.t009_d001.s009.t009 bn:00035907n
d001.s011.t028_d001.s011.t028 bn:00035907n
d001.s017.t021_d001.s017.t021 bn:00035907n
d001.s025.t002_d001.s025.t002 bn:00016413n
d002.s029.t004_d002.s029.t006 bn:03403506n
d003.s018.t026_d003.s018.t026 bn:00047795n
d003.s019.t031_d003.s019.t031 bn:00047795n
d003.s006.t028_d003.s006.t028 bn:00014138n
d003.s010.t038_d003.s010.t038 bn:00014138n
d001.s003.t010_d001.s003.t010 bn:00076843n
d001.s017.t033_d001.s017.t033 bn:00076843n
d001.s019.t007_d001.s019.t007 bn:00076843n
d001.s026.t007_d001.s026.t007 bn:00042823n
d001.s028.t004_d001.s028.t004 bn:00076843n
d001.s034.t003_d001.s034.t003 bn:00076843n
d004.s009.t023_d004.s009.t023 bn:00076843n
d004.s010.t009_d004.s010.t009 bn:00076843n
d004.s010.t021_d004.s010.t021 bn:00042823n
d004.s017.t037_d004.s017.t037 bn:00076843n
d004.s018.t002_d004.s018.t002 bn:00076843n
d004.s020.t017_d004.s020.t017 bn:00076843n
d004.s022.t035_d004.s022.t035 bn:00042823n
d001.s028.t004_d001.s028.t006 bn:01853831n
d004.s009.t023_d004.s009.t025 bn:01853831n
d001.s028.t004_d001.s028.t008 bn:02016079n
d001.s010.t017_d001.s010.t017 bn:00057267n
d002.s020.t021_d002.s020.t021 bn:00079373n
d002.s027.t007_d002.s027.t007 bn:00079373n
d003.s002.t050_d003.s002.t050 bn:00079373n
d003.s003.t019_d003.s003.t019 bn:00079373n
d001.s018.t021_d001.s018.t021 bn:00027565n
d004.s008.t008_d004.s008.t008 bn:00027565n
d004.s009.t010_d004.s009.t010 bn:00027565n
d004.s009.t032_d004.s009.t032 bn:00027565n
d004.s010.t023_d004.s010.t023 bn:00027565n
d004.s017.t019_d004.s017.t019 bn:00027565n
d004.s017.t043_d004.s017.t043 bn:00027565n
d004.s018.t007_d004.s018.t007 bn:00027565n
d004.s018.t017_d004.s018.t017 bn:00027565n
d004.s020.t004_d004.s020.t004 bn:00027565n
d004.s020.t026_d004.s020.t026 bn:00027565n
d002.s021.t009_d002.s021.t009 bn:00029680n
d002.s034.t007_d002.s034.t007 bn:00029680n
d001.s030.t010_d001.s030.t010 bn:00031973n
d002.s017.t006_d002.s017.t006 bn:00079583n
d002.s021.t012_d002.s021.t012 bn:00079583n
d002.s032.t007_d002.s032.t007 bn:00079583n
d002.s034.t010_d002.s034.t010 bn:00079583n
d001.s006.t017_d001.s006.t017 bn:00079681n
d002.s006.t008_d002.s006.t008 bn:00081285n
d002.s008.t002_d002.s008.t002 bn:00081285n
d004.s002.t026_d004.s002.t026 bn:00079883n
d004.s015.t021_d004.s015.t021 bn:00079883n
d004.s020.t018_d004.s020.t018 bn:00079883n
d004.s022.t016_d004.s022.t016 bn:00016401n
d004.s022.t029_d004.s022.t029 bn:00016401n
d003.s009.t052_d003.s009.t052 bn:00079435n
d003.s003.t035_d003.s003.t036 bn:02021819n
d001.s017.t023_d001.s017.t023 bn:00080147n
d001.s017.t029_d001.s017.t029 bn:00080147n
