d001.s016.t014_d001.s016.t014 bn:00000902n
d003.s022.t014_d003.s022.t014 bn:00026684n
d002.s002.t015_d002.s002.t015 bn:00041412n
d002.s046.t005_d002.s046.t005 bn:00041412n
d002.s046.t014_d002.s046.t014 bn:00041412n
d002.s049.t011_d002.s049.t011 bn:00041412n
d002.s050.t004_d002.s050.t004 bn:00041412n
d002.s052.t008_d002.s052.t008 bn:00041412n
d003.s022.t016_d003.s022.t016 bn:00030401n
d001.s035.t026_d001.s035.t026 bn:00041942n
d002.s006.t001_d002.s006.t001 bn:00060201n
d003.s003.t008_d003.s003.t008 bn:00062795n
d003.s021.t023_d003.s021.t023 bn:00014137n
d003.s008.t012_d003.s008.t012 bn:00046576n
d003.s008.t012_d003.s008.t013 bn:00054564n
d001.s003.t003_d001.s003.t003 bn:00046705n
d001.s004.t003_d001.s004.t003 bn:00046705n
d001.s020.t003_d001.s020.t003 bn:00046705n
d001.s015.t030_d001.s015.t031 bn:00047278n
d001.s006.t012_d001.s006.t012 bn:00036739n
d001.s016.t024_d001.s016.t024 bn:00046787n
d004.s010.t031_d004.s010.t031 bn:00046787n
d004.s010.t034_d004.s010.t034 bn:00046787n
d004.s018.t012_d004.s018.t012 bn:00046787n
d003.s010.t012_d003.s010.t012 bn:00034797n
d003.s011.t007_d003.s011.t007 bn:00034797n
d003.s012.t008_d003.s012.t008 bn:00034797n
d003.s012.t030_d003.s012.t030 bn:00034797n
d003.s021.t005_d003.s021.t005 bn:00034797n
d001.s010.t028_d001.s010.t028 bn:00059129n
d003.s007.t007_d003.s007.t007 bn:00047238n
d003.s013.t007_d003.s013.t007 bn:00047238n
d003.s003.t026_d003.s003.t026 bn:00047644n
d002.s040.t003_d002.s040.t003 bn:00026980n
d003.s022.t018_d003.s022.t018 bn:00047705n
d002.s042.t002_d002.s042.t002 bn:00049538n
d004.s015.t013_d004.s015.t013 bn:00049551n
d003.s010.t036_d003.s010.t036 bn:00081593n
d003.s018.t030_d003.s018.t030 bn:00081593n
d003.s019.t023_d003.s019.t023 bn:00081593n
d002.s038.t012_d002.s038.t012 bn:00014138n
d003.s012.t020_d003.s012.t020 bn:00014138n
d004.s006.t018_d004.s006.t018 bn:00003057n
d002.s038.t007_d002.s038.t007 bn:00050969n
d003.s019.t007_d003.s019.t007 bn:00027476n
d002.s001.t008_d002.s001.t008 bn:00049910n
d002.s031.t004_d002.s031.t004 bn:00051508n
d002.s051.t008_d002.s051.t008 bn:00051508n
d004.s013.t013_d004.s013.t013 bn:00025965n
d004.s006.t010_d004.s006.t010 bn:00051872n
d001.s023.t032_d001.s023.t032 bn:00053801n
d001.s032.t016_d001.s032.t016 bn:00007449n
d001.s002.t012_d001.s002.t012 bn:00054128n
d001.s002.t034_d001.s002.t034 bn:00054128n
d001.s012.t002_d001.s012.t002 bn:00054128n
d001.s022.t011_d001.s022.t011 bn:00054128n
d001.s028.t010_d001.s028.t010 bn:00054128n
d004.s008.t008_d004.s008.t008 bn:00054128n
d004.s009.t017_d004.s009.t017 bn:00054128n
d004.s017.t020_d004.s017.t020 bn:00054128n
d004.s023.t013_d004.s023.t013 bn:00054128n
d001.s014.t011_d001.s014.t011 bn:00027976n
d001.s009.t018_d001.s009.t018 bn:00049774n
d001.s032.t018_d001.s032.t018 bn:00014710n
d001.s032.t023_d001.s032.t023 bn:00014710n
d001.s034.t021_d001.s034.t021 bn:00014710n
d001.s035.t022_d001.s035.t022 bn:00014710n
d001.s009.t013_d001.s009.t013 bn:00054512n
d001.s025.t005_d001.s025.t005 bn:00054512n
d001.s031.t012_d001.s031.t012 bn:00054512n
d002.s038.t003_d002.s038.t003 bn:00061229n
d001.s015.t011_d001.s015.t011 bn:00052501n
d003.s005.t007_d003.s005.t007 bn:00055180n
d001.s015.t034_d001.s015.t034 bn:00055094n
d004.s010.t005_d004.s010.t005 bn:00054019n
d004.s020.t012_d004.s020.t012 bn:00054019n
d003.s012.t014_d003.s012.t014 bn:00035908n
d002.s013.t010_d002.s013.t010 bn:00056300n
d002.s034.t002_d002.s034.t002 bn:00056688n
d003.s003.t005_d003.s003.t005 bn:00046157n
d001.s023.t021_d001.s023.t021 bn:00008788n
d003.s009.t025_d003.s009.t025 bn:00014138n
d003.s022.t005_d003.s022.t005 bn:00058443n
d002.s019.t017_d002.s019.t017 bn:00059141n
d002.s020.t009_d002.s020.t009 bn:00059141n
d002.s029.t012_d002.s029.t012 bn:00059141n
d002.s002.t004_d002.s002.t004 bn:00059129n
d002.s023.t014_d002.s023.t014 bn:00059129n
d003.s009.t003_d003.s009.t003 bn:00059275n
d001.s023.t002_d001.s023.t002 bn:00011744n
d003.s012.t018_d003.s012.t018 bn:00059480n
d003.s002.t030_d003.s002.t032 bn:02438777n
d003.s007.t024_d003.s007.t024 bn:00023235n
d003.s011.t003_d003.s011.t003 bn:00023235n
d004.s015.t024_d004.s015.t024 bn:00023235n
d003.s009.t048_d003.s009.t048 bn:00060708n
d003.s009.t057_d003.s009.t057 bn:00060708n
d003.s007.t013_d003.s007.t013 bn:00060834n
d003.s006.t023_d003.s006.t023 bn:00030844n
d001.s011.t013_d001.s011.t013 bn:00060929n
d001.s011.t021_d001.s011.t021 bn:00060927n
d001.s028.t028_d001.s028.t028 bn:00060927n
d001.s034.t005_d001.s034.t005 bn:00060927n
d001.s035.t005_d001.s035.t005 bn:00060927n
d001.s011.t009_d001.s011.t009 bn:00061017n
d001.s011.t018_d001.s011.t018 bn:00061017n
d001.s015.t025_d001.s015.t025 bn:00061017n
d001.s016.t008_d001.s016.t008 bn:00061017n
d001.s017.t009_d001.s017.t009 bn:00061017n
d001.s018.t017_d001.s018.t017 bn:00061017n
d001.s019.t008_d001.s019.t008 bn:00061017n
d001.s025.t022_d001.s025.t022 bn:00061017n
d001.s027.t035_d001.s027.t035 bn:00061017n
d001.s028.t025_d001.s028.t025 bn:00061017n
d001.s029.t019_d001.s029.t019 bn:00061017n
d001.s032.t025_d001.s032.t025 bn:00061017n
d001.s033.t004_d001.s033.t004 bn:00061017n
d001.s034.t002_d001.s034.t002 bn:00061017n
d001.s035.t002_d001.s035.t002 bn:00061017n
d001.s036.t008_d001.s036.t008 bn:00061017n
d004.s022.t021_d004.s022.t021 bn:00061605n
d004.s023.t009_d004.s023.t009 bn:00046516n
d003.s013.t012_d003.s013.t012 bn:00035770n
d001.s015.t023_d001.s015.t023 bn:00080831n
d004.s017.t013_d004.s017.t013 bn:00062717n
d004.s017.t035_d004.s017.t035 bn:00062717n
d001.s009.t022_d001.s009.t022 bn:00052341n
d001.s006.t004_d001.s006.t004 bn:00029192n
d002.s014.t007_d002.s014.t007 bn:00063941n
d002.s016.t005_d002.s016.t005 bn:00030820n
d004.s017.t042_d004.s017.t042 bn:00008467n
d003.s006.t010_d003.s006.t010 bn:00049573n
d003.s018.t006_d003.s018.t006 bn:00049573n
d003.s019.t010_d003.s019.t010 bn:00049573n
d003.s021.t002_d003.s021.t002 bn:00049573n
d003.s017.t017_d003.s017.t017 bn:00075094n
d004.s001.t004_d004.s001.t004 bn:00007096n
d002.s044.t002_d002.s044.t002 bn:00065472n
d003.s006.t008_d003.s006.t008 bn:00060201n
d004.s006.t026_d004.s006.t026 bn:00003603n
d003.s010.t005_d003.s010.t005 bn:00067181n
d003.s014.t007_d003.s014.t007 bn:00067181n
d003.s015.t002_d003.s015.t002 bn:00067181n
d003.s007.t017_d003.s007.t017 bn:00001964n
d004.s013.t004_d004.s013.t004 bn:00066515n
d003.s022.t023_d003.s022.t023 bn:00049171n
d003.s022.t023_d003.s022.t024 bn:00013173n
d001.s001.t008_d001.s001.t008 bn:00067181n
d003.s009.t028_d003.s009.t028 bn:00045161n
d004.s002.t009_d004.s002.t009 bn:00067181n
d003.s022.t002_d003.s022.t002 bn:00067280n
d004.s024.t005_d004.s024.t005 bn:00030747n
d004.s017.t002_d004.s017.t002 bn:00021961n
d001.s023.t029_d001.s023.t029 bn:00067714n
d003.s002.t019_d003.s002.t019 bn:00068130n
d002.s039.t002_d002.s039.t002 bn:00068673n
d002.s011.t007_d002.s011.t007 bn:00070494n
d003.s002.t038_d003.s002.t038 bn:00070651n
d003.s003.t024_d003.s003.t024 bn:00070651n
d003.s020.t006_d003.s020.t006 bn:00037634n
d001.s015.t039_d001.s015.t039 bn:00043484n
d003.s009.t013_d003.s009.t013 bn:00050522n
d001.s001.t005_d001.s001.t005 bn:00075742n
d004.s001.t001_d004.s001.t001 bn:00075742n
d004.s013.t015_d004.s013.t015 bn:00075759n
d004.s013.t015_d004.s013.t016 bn:00057341n
d004.s013.t015_d004.s013.t017 bn:00017184n
d001.s006.t008_d001.s006.t008 bn:00072760n
d004.s004.t016_d004.s004.t016 bn:00072760n
d002.s013.t008_d002.s013.t008 bn:00055233n
d001.s010.t072_d001.s010.t072 bn:00005532n
d004.s015.t028_d004.s015.t029 NO_MATCH
d004.s015.t028_d004.s015.t031 NO_MATCH
d001.s024.t002_d001.s024.t002 bn:00067181n
d001.s025.t017_d001.s025.t017 bn:00067181n
d001.s027.t031_d001.s027.t031 bn:00067181n
d001.s028.t022_d001.s028.t022 bn:00067181n
d001.s030.t009_d001.s030.t009 bn:00067181n
d001.s036.t006_d001.s036.t006 bn:00067181n
d003.s006.t014_d003.s006.t014 bn:00067181n
d003.s007.t002_d003.s007.t002 bn:00067181n
d003.s010.t001_d003.s010.t001 bn:00067181n
d003.s011.t016_d003.s011.t016 bn:00067181n
d003.s012.t002_d003.s012.t002 bn:00074786n
d003.s014.t002_d003.s014.t002 bn:00067181n
d004.s015.t005_d004.s015.t005 bn:00067181n
d004.s016.t009_d004.s016.t009 bn:00067181n
d004.s017.t004_d004.s017.t004 bn:00067181n
d002.s027.t033_d002.s027.t033 bn:00876917n
d001.s015.t014_d001.s015.t014 bn:00005513n
d003.s005.t027_d003.s005.t027 bn:00056025n
d001.s003.t012_d001.s003.t012 bn:00076843n
d004.s010.t012_d004.s010.t012 bn:00076843n
d004.s020.t018_d004.s020.t018 bn:00076843n
d002.s041.t004_d002.s041.t004 bn:00076732n
d002.s041.t016_d002.s041.t016 bn:00076732n
d002.s047.t007_d002.s047.t007 bn:00076732n
d001.s009.t010_d001.s009.t010 bn:00057267n
d001.s009.t016_d001.s009.t016 bn:00057267n
d001.s010.t016_d001.s010.t016 bn:00057267n
d001.s027.t037_d001.s027.t037 bn:00057267n
d001.s028.t037_d001.s028.t037 bn:00057267n
d001.s036.t011_d001.s036.t011 bn:00057267n
d001.s037.t007_d001.s037.t007 bn:00057267n
d004.s024.t008_d004.s024.t008 bn:00044576n
d002.s020.t020_d002.s020.t020 bn:00079373n
d002.s027.t007_d002.s027.t007 bn:00079373n
d003.s002.t036_d003.s002.t036 bn:00079373n
d003.s003.t019_d003.s003.t019 bn:00079373n
d002.s021.t008_d002.s021.t008 bn:00029680n
d002.s032.t020_d002.s032.t020 bn:00029680n
d002.s033.t009_d002.s033.t009 bn:00029680n
d002.s017.t009_d002.s017.t009 bn:00079583n
d002.s021.t011_d002.s021.t011 bn:00079583n
d002.s031.t006_d002.s031.t006 bn:00079583n
d002.s033.t011_d002.s033.t011 bn:00079583n
d001.s006.t017_d001.s006.t017 bn:00079681n
d003.s009.t055_d003.s009.t055 bn:00079435n
d003.s017.t007_d003.s017.t007 bn:00059169n
d001.s016.t020_d001.s016.t020 bn:00080147n
d001.s016.t026_d001.s016.t026 bn:00080147n
d001.s017.t019_d001.s017.t019 bn:00027565n
d004.s008.t012_d004.s008.t012 bn:00027565n
d004.s009.t008_d004.s009.t008 bn:00027565n
d004.s009.t032_d004.s009.t032 bn:00027565n
d004.s010.t027_d004.s010.t027 bn:00027565n
d004.s017.t024_d004.s017.t024 bn:00027565n
d004.s017.t044_d004.s017.t044 bn:00027565n
d004.s018.t007_d004.s018.t007 bn:00027565n
d004.s018.t020_d004.s018.t020 bn:00027565n
d004.s020.t006_d004.s020.t006 bn:00027565n
d004.s020.t025_d004.s020.t025 bn:00027565n
