d006.s016.t007 bn:00069619n
d009.s011.t004 bn:00078738n
d009.s012.t004 bn:00078738n
d009.s014.t007 bn:00078738n
d009.s026.t004 bn:00078738n
d009.s028.t004 bn:00078738n
d009.s028.t006 bn:00078738n
d009.s028.t008 bn:00078738n
d011.s007.t003 bn:00078738n
d012.s023.t006 bn:00078738n
d012.s019.t006 bn:00003755n
d001.s002.t013 bn:00078738n
d001.s011.t007 bn:00078738n
d003.s006.t006 bn:00078738n
d004.s003.t014 bn:00078738n
d004.s009.t003 bn:00078738n
d009.s007.t004 bn:00078738n
d009.s011.t008 bn:00078738n
d009.s019.t006 bn:00078738n
d009.s024.t003 bn:00078738n
d010.s013.t003 bn:00078738n
d013.s019.t002 bn:00078738n
d006.s001.t001 bn:00005019n
d006.s006.t005 bn:00005019n
d006.s008.t003 bn:00005019n
d006.s015.t003 bn:00005019n
d006.s017.t003 bn:00005019n
d007.s014.t013 bn:00058701n
d005.s006.t009 bn:00055644n
d005.s010.t001 bn:00055644n
d008.s006.t003 bn:00005684n
d008.s001.t002 bn:00005917n
d008.s002.t003 bn:00005917n
d008.s005.t002 bn:00005917n
d008.s008.t005 bn:00005917n
d008.s018.t008 bn:00005917n
d008.s019.t001 bn:00005917n
d008.s020.t001 bn:00005917n
d008.s022.t001 bn:00005917n
d008.s023.t005 bn:00005917n
d008.s024.t004 bn:00005917n
d008.s024.t009 bn:00005917n
d008.s025.t005 bn:00005917n
d008.s026.t001 bn:00005917n
d006.s013.t007 bn:00032175n
d010.s008.t003 bn:00020039n
d009.s006.t004 bn:00007047n
d009.s009.t003 bn:00007047n
d013.s020.t002 bn:00001961n
d013.s024.t001 bn:00001961n
d006.s006.t001 bn:00007051n
d006.s009.t010 bn:00007051n
d006.s015.t001 bn:00007051n
d006.s018.t003 bn:00007051n
d006.s019.t001 bn:00007051n
d006.s021.t001 bn:00007051n
d006.s026.t007 bn:00007051n
d006.s029.t001 bn:00007051n
d006.s030.t001 bn:00007051n
d010.s006.t001 bn:00007051n
d010.s019.t004 bn:00007051n
d008.s007.t005 bn:00006901n
d008.s002.t002 bn:00007854n
d008.s003.t002 bn:00007854n
d008.s023.t002 bn:00007854n
d005.s001.t001 bn:00008364n
d005.s002.t001 bn:00008364n
d005.s007.t004 bn:00008364n
d005.s011.t001 bn:00008364n
d005.s013.t002 bn:00008364n
d013.s001.t001 bn:00008364n
d013.s002.t005 bn:00008364n
d013.s003.t014 bn:00008364n
d013.s005.t003 bn:00008364n
d013.s006.t004 bn:00008364n
d013.s008.t001 bn:00008364n
d013.s014.t001 bn:00008364n
d013.s019.t004 bn:00008364n
d013.s022.t001 bn:00008364n
d005.s009.t003 bn:00047365n
d013.s018.t004 bn:00047365n
d004.s019.t005 bn:00008694n
d001.s018.t001 bn:00009078n
d008.s014.t006 bn:00010518n
d008.s016.t004 bn:00010518n
d004.s011.t003 bn:00008679n
d003.s002.t001 bn:00010302n
d012.s022.t005 bn:00013640n
d012.s023.t011 bn:00013640n
d005.s006.t003 bn:00015496n
d005.s008.t006 bn:00015496n
d005.s011.t005 bn:00015496n
d001.s006.t010 bn:00006890n
d006.s013.t011 bn:00016139n
d009.s003.t003 bn:00079045n
d009.s023.t005 bn:00079045n
d005.s011.t008 bn:00017686n
d005.s004.t001 bn:00017686n
d004.s019.t010 bn:00034265n
d011.s005.t001 bn:00017605n
d011.s007.t005 bn:00017615n
d001.s008.t008 bn:00019782n
d001.s021.t003 bn:00019782n
d008.s003.t001 bn:00047356n
d008.s008.t001 bn:00047356n
d008.s010.t005 bn:00047356n
d008.s023.t001 bn:00047356n
d008.s026.t005 bn:00047356n
d003.s003.t001 bn:00025702n
d009.s014.t006 bn:00025702n
d009.s024.t004 bn:00025702n
d011.s006.t001 bn:00025702n
d011.s014.t001 bn:00025702n
d001.s014.t004 bn:00016756n
d001.s016.t008 bn:00016756n
d001.s018.t006 bn:00016756n
d001.s023.t010 bn:00016756n
d004.s003.t005 bn:00016756n
d004.s017.t001 bn:00016756n
d012.s019.t002 bn:00059122n
d006.s007.t007 bn:00019227n
d011.s005.t007 bn:00019478n
d006.s013.t006 bn:00019742n
d013.s011.t005 bn:00014143n
d001.s002.t002 bn:00019780n
d001.s020.t003 bn:00019780n
d001.s023.t003 bn:00019780n
d007.s018.t003 bn:00020039n
d001.s019.t004 bn:00022995n
d004.s012.t006 bn:00022995n
d010.s016.t002 bn:00020354n
d010.s018.t004 bn:00020354n
d010.s015.t002 bn:00020356n
d007.s006.t001 bn:00021015n
d009.s019.t001 bn:00021016n
d006.s015.t010 bn:00021221n
d006.s017.t006 bn:00021221n
d004.s003.t004 bn:00021286n
d007.s003.t012 bn:00009656n
d007.s010.t004 bn:00009656n
d008.s020.t002 bn:00009656n
d002.s013.t011 bn:00023158n
d008.s023.t004 bn:00021538n
d008.s012.t002 bn:00057552n
d003.s009.t001 bn:00032769n
d009.s015.t001 bn:00032769n
d010.s004.t006 bn:00021845n
d012.s013.t003 bn:00020452n
d010.s004.t010 bn:00021982n
d010.s022.t002 bn:00021982n
d010.s023.t001 bn:00021982n
d004.s007.t002 bn:00022227n
d004.s013.t003 bn:00022227n
d004.s015.t003 bn:00022227n
d004.s016.t001 bn:00022227n
d004.s016.t004 bn:00022227n
d001.s028.t001 bn:00023303n
d006.s013.t003 bn:00075359n
d006.s012.t001 bn:00005022n
d006.s029.t002 bn:00005022n
d012.s015.t001 bn:00033854n
d009.s003.t001 bn:00023807n
d009.s022.t002 bn:00023807n
d009.s023.t004 bn:00023807n
d005.s002.t002 bn:00023844n
d009.s017.t001 bn:15316540n
d010.s021.t002 bn:00023864n
d009.s011.t002 bn:00029670n
d012.s013.t011 bn:00029670n
d001.s024.t001 bn:00005601n
d007.s009.t002 bn:00005601n
d003.s009.t003 bn:00025645n
d006.s012.t002 bn:00025646n
d008.s002.t001 bn:00027531n
d008.s010.t001 bn:00012940n
d008.s014.t001 bn:00012940n
d008.s017.t001 bn:00012940n
d006.s004.t002 bn:00025878n
d006.s021.t002 bn:00025871n
d011.s005.t008 bn:00036782n
d001.s011.t013 bn:00025949n
d009.s002.t002 bn:00021207n
d009.s009.t004 bn:00021207n
d009.s010.t002 bn:00021207n
d009.s011.t006 bn:00021207n
d009.s014.t003 bn:00021207n
d009.s016.t004 bn:00021207n
d013.s011.t004 bn:00026375n
d013.s025.t002 bn:00061826n
d006.s002.t001 bn:13713147n
d012.s024.t006 bn:00077593n
d012.s025.t001 bn:00077593n
d009.s029.t005 bn:00000704n
d001.s002.t009 bn:00028018n
d001.s008.t002 bn:00028018n
d013.s004.t002 bn:00028018n
d013.s006.t001 bn:00028018n
d013.s015.t002 bn:00028018n
d003.s001.t004 bn:00028114n
d003.s002.t008 bn:00028114n
d003.s010.t003 bn:00079129n
d005.s003.t004 bn:00028114n
d005.s006.t008 bn:00079129n
d005.s011.t007 bn:00079129n
d013.s003.t009 bn:00079129n
d013.s009.t004 bn:00028114n
d013.s012.t003 bn:00028114n
d013.s022.t011 bn:00028114n
d013.s023.t006 bn:00028114n
d013.s012.t001 bn:00003333n
d010.s016.t001 bn:00028425n
d003.s002.t009 bn:00028458n
d003.s003.t003 bn:00028458n
d006.s009.t007 bn:00048655n
d010.s016.t007 bn:00048655n
d012.s008.t006 bn:00067810n
d006.s023.t002 bn:00021961n
d012.s018.t001 bn:00021961n
d012.s019.t012 bn:00021961n
d012.s025.t004 bn:00021961n
d001.s015.t003 bn:00029899n
d012.s013.t013 bn:00030616n
d012.s014.t003 bn:00030616n
d012.s017.t007 bn:00030616n
d012.s019.t014 bn:00030616n
d004.s002.t008 bn:00007085n
d004.s004.t004 bn:00007085n
d004.s005.t002 bn:00007085n
d004.s006.t001 bn:00004483n
d004.s007.t004 bn:00007085n
d004.s019.t002 bn:00007085n
d007.s003.t010 bn:00046794n
d006.s004.t007 bn:00018346n
d007.s006.t004 bn:00020119n
d010.s017.t005 bn:00014137n
d008.s014.t002 bn:00031075n
d011.s001.t002 bn:00073092n
d003.s009.t005 bn:00005164n
d003.s010.t006 bn:00031888n
d013.s003.t011 bn:00031888n
d011.s005.t002 bn:00031896n
d006.s018.t005 bn:00015656n
d008.s026.t003 bn:00009676n
d011.s001.t001 bn:00032306n
d011.s009.t002 bn:00032306n
d012.s016.t001 bn:00032306n
d007.s014.t001 bn:00032655n
d007.s017.t008 bn:00032655n
d006.s005.t005 bn:00032896n
d007.s004.t006 bn:00031485n
d007.s016.t004 bn:00031485n
d010.s022.t001 bn:00053531n
d006.s020.t005 bn:00025364n
d006.s014.t005 bn:00034471n
d013.s022.t002 bn:00034544n
d006.s025.t002 bn:00034625n
d007.s007.t006 bn:00006547n
d011.s009.t001 bn:00035713n
d012.s017.t005 bn:00041853n
d012.s003.t009 bn:00036202n
d012.s006.t009 bn:00036202n
d007.s010.t009 bn:00036292n
d007.s014.t006 bn:00036292n
d007.s023.t005 bn:00036292n
d007.s025.t001 bn:00012212n
d009.s027.t005 bn:00050522n
d001.s002.t011 bn:00041712n
d001.s003.t004 bn:00041712n
d001.s013.t006 bn:00041712n
d001.s019.t006 bn:00041712n
d004.s002.t004 bn:00001426n
d004.s012.t005 bn:00001426n
d009.s015.t004 bn:00001426n
d006.s024.t010 bn:00041204n
d009.s014.t009 bn:00017904n
d009.s020.t003 bn:00017904n
d009.s025.t009 bn:00017904n
d010.s007.t006 bn:00018111n
d004.s003.t015 bn:00080439n
d004.s009.t004 bn:00080439n
d001.s026.t007 bn:00042150n
d001.s020.t002 bn:00043539n
d010.s010.t002 bn:00044967n
d012.s003.t001 bn:00042917n
d010.s010.t003 bn:00000127n
d007.s009.t011 bn:00044654n
d009.s008.t001 bn:00045201n
d009.s020.t001 bn:00045201n
d008.s007.t004 bn:00006823n
d007.s009.t009 bn:00004527n
d013.s004.t003 bn:00055954n
d013.s022.t009 bn:00055954n
d008.s026.t006 bn:00045632n
d006.s017.t004 bn:00045800n
d008.s025.t004 bn:00045800n
d012.s012.t001 bn:00045800n
d012.s015.t004 bn:00045800n
d012.s021.t006 bn:00045800n
d012.s001.t001 bn:00046021n
d012.s002.t002 bn:00046021n
d012.s012.t002 bn:00046021n
d012.s013.t004 bn:00046021n
d012.s014.t001 bn:00046021n
d013.s022.t003 bn:00046038n
d003.s009.t006 bn:00063793n
d003.s010.t001 bn:00063793n
d001.s025.t009 bn:00046705n
d004.s009.t011 bn:00046705n
d005.s012.t002 bn:00046705n
d004.s002.t006 bn:00008794n
d001.s011.t011 bn:00002954n
d008.s018.t002 bn:00046952n
d013.s003.t007 bn:00046952n
d008.s028.t005 bn:00056932n
d004.s009.t012 bn:00024712n
d008.s012.t005 bn:00024712n
d006.s028.t001 bn:00047238n
d012.s008.t002 bn:00047325n
d005.s006.t006 bn:00047367n
d013.s020.t001 bn:00047367n
d004.s003.t012 bn:00002362n
d004.s008.t005 bn:00002362n
d004.s009.t001 bn:00002362n
d004.s010.t003 bn:00002362n
d004.s011.t009 bn:00002362n
d004.s018.t004 bn:00002362n
d002.s011.t002 bn:00081866n
d005.s011.t003 bn:00076744n
d006.s005.t001 bn:00076744n
d008.s006.t008 bn:00076744n
d010.s003.t002 bn:00076744n
d001.s026.t006 bn:00060799n
d007.s006.t008 bn:00060799n
d001.s026.t005 bn:00000086n
d006.s007.t004 bn:00048461n
d006.s026.t005 bn:00048461n
d006.s028.t002 bn:00048461n
d006.s005.t008 bn:00048488n
d006.s008.t002 bn:00048488n
d006.s010.t001 bn:00048488n
d006.s017.t002 bn:00048488n
d006.s019.t005 bn:00048488n
d006.s021.t005 bn:00048488n
d010.s003.t003 bn:00048488n
d010.s005.t001 bn:00048488n
d010.s015.t001 bn:00048488n
d010.s016.t003 bn:00048488n
d010.s016.t008 bn:00048488n
d010.s018.t006 bn:00048488n
d010.s018.t008 bn:00048488n
d010.s019.t001 bn:00048488n
d010.s023.t002 bn:00048488n
d006.s010.t004 bn:00048496n
d006.s013.t001 bn:00048496n
d004.s007.t005 bn:00048592n
d005.s013.t001 bn:00048592n
d006.s005.t010 bn:00048658n
d006.s007.t010 bn:00048658n
d006.s010.t008 bn:00048658n
d006.s019.t012 bn:00048658n
d006.s021.t011 bn:00048658n
d001.s004.t003 bn:00050371n
d007.s005.t002 bn:00050371n
d006.s004.t008 bn:00009472n
d007.s001.t003 bn:00048655n
d007.s010.t010 bn:00048655n
d007.s014.t007 bn:00048655n
d007.s023.t006 bn:00048655n
d007.s025.t004 bn:00048655n
d012.s016.t007 bn:00030616n
d012.s003.t012 bn:00053648n
d008.s022.t005 bn:00026716n
d012.s003.t007 bn:00053941n
d012.s013.t005 bn:00053941n
d002.s010.t008 bn:00042759n
d004.s014.t005 bn:00042759n
d004.s012.t007 bn:00042833n
d006.s004.t009 bn:00029305n
d012.s024.t003 bn:00053151n
d003.s002.t004 bn:00053458n
d003.s005.t001 bn:00053458n
d003.s007.t005 bn:00053458n
d005.s010.t002 bn:00053458n
d004.s011.t004 bn:00078546n
d003.s006.t001 bn:00012213n
d010.s005.t004 bn:00053318n
d001.s022.t007 bn:00035851n
d001.s027.t003 bn:00054897n
d003.s013.t004 bn:00054897n
d005.s003.t002 bn:00054897n
d005.s008.t001 bn:00054897n
d006.s004.t003 bn:00054523n
d006.s005.t003 bn:00032175n
d012.s006.t006 bn:00000013n
d013.s001.t004 bn:00000013n
d013.s002.t008 bn:00000013n
d013.s003.t008 bn:00000013n
d013.s003.t010 bn:00000013n
d013.s009.t003 bn:00000013n
d004.s001.t001 bn:00055180n
d004.s019.t006 bn:00055180n
d008.s028.t003 bn:00024459n
d001.s027.t002 bn:00041200n
d002.s014.t004 bn:00055094n
d002.s016.t004 bn:00055094n
d006.s003.t001 bn:00055094n
d007.s004.t001 bn:00055094n
d009.s013.t001 bn:00042601n
d002.s013.t005 bn:00055597n
d007.s023.t007 bn:00055597n
d010.s005.t009 bn:00055597n
d001.s004.t004 bn:00029424n
d001.s017.t007 bn:00029424n
d004.s011.t012 bn:00029424n
d012.s006.t011 bn:00029424n
d006.s011.t001 bn:00081546n
d009.s011.t003 bn:00005677n
d009.s013.t005 bn:00005677n
d012.s022.t003 bn:00005677n
d001.s004.t001 bn:00026838n
d001.s008.t004 bn:00026838n
d001.s011.t002 bn:00026838n
d001.s012.t003 bn:00026838n
d001.s013.t003 bn:00026838n
d003.s002.t010 bn:00056893n
d001.s002.t014 bn:00023236n
d001.s001.t002 bn:00078931n
d009.s019.t002 bn:00078931n
d003.s008.t003 bn:00058192n
d007.s003.t008 bn:00058192n
d002.s009.t005 bn:00025236n
d001.s018.t008 bn:00058469n
d001.s003.t005 bn:00022742n
d009.s007.t007 bn:00058593n
d008.s014.t011 bn:00059087n
d010.s002.t005 bn:00059195n
d010.s016.t006 bn:00059480n
d008.s004.t001 bn:00009677n
d008.s021.t001 bn:00009677n
d008.s007.t006 bn:00006912n
d007.s024.t002 bn:00061328n
d001.s009.t010 bn:00061605n
d005.s008.t007 bn:00031353n
d004.s001.t002 bn:00024112n
d004.s003.t002 bn:00024112n
d004.s011.t011 bn:00024112n
d004.s014.t003 bn:00024112n
d004.s017.t005 bn:00024112n
d001.s008.t001 bn:00060158n
d001.s008.t005 bn:00060158n
d001.s022.t005 bn:00060158n
d013.s009.t001 bn:00061119n
d001.s026.t004 bn:00032226n
d011.s006.t004 bn:00060340n
d001.s026.t011 bn:00060464n
d009.s015.t002 bn:00060708n
d004.s004.t002 bn:00030844n
d007.s019.t007 bn:00030844n
d010.s020.t002 bn:00030844n
d013.s007.t003 bn:00060837n
d006.s007.t011 bn:00060907n
d006.s010.t009 bn:00060907n
d009.s019.t005 bn:00046157n
d001.s005.t003 bn:00023235n
d001.s009.t007 bn:00023236n
d001.s010.t001 bn:00023235n
d001.s011.t008 bn:00023235n
d001.s015.t005 bn:00023236n
d001.s018.t012 bn:00023236n
d001.s019.t007 bn:00023236n
d001.s021.t001 bn:00023236n
d001.s026.t009 bn:00023236n
d009.s005.t003 bn:00023236n
d009.s013.t002 bn:00023235n
d009.s014.t004 bn:00023236n
d009.s015.t003 bn:00023236n
d009.s017.t003 bn:00023236n
d009.s020.t002 bn:00023235n
d009.s023.t007 bn:00023235n
d009.s026.t003 bn:00023236n
d009.s029.t002 bn:00023236n
d012.s002.t011 bn:00023236n
d012.s006.t005 bn:00023236n
d012.s013.t014 bn:00023236n
d012.s022.t006 bn:00023235n
d001.s026.t003 bn:00046516n
d006.s009.t008 bn:00046516n
d009.s028.t003 bn:00046516n
d012.s008.t001 bn:00033854n
d007.s005.t009 bn:00035914n
d007.s019.t004 bn:00035914n
d008.s005.t001 bn:00006845n
d008.s007.t007 bn:00006845n
d008.s019.t002 bn:00006845n
d008.s020.t003 bn:00006845n
d008.s022.t002 bn:00006845n
d008.s024.t002 bn:00006845n
d008.s025.t006 bn:00006845n
d006.s019.t009 bn:00032381n
d006.s020.t002 bn:00032381n
d010.s005.t002 bn:00021349n
d013.s021.t002 bn:00021349n
d001.s001.t004 bn:00062759n
d005.s003.t008 bn:00062766n
d008.s024.t010 bn:00052888n
d012.s008.t005 bn:00062576n
d002.s002.t013 bn:00036777n
d002.s004.t004 bn:00063218n
d002.s009.t003 bn:00036777n
d002.s013.t009 bn:00036777n
d002.s015.t003 bn:00036777n
d007.s026.t001 bn:00063308n
d012.s002.t001 bn:00063351n
d004.s017.t004 bn:00047203n
d005.s012.t001 bn:00047203n
d009.s021.t003 bn:00064234n
d009.s027.t004 bn:00064234n
d010.s002.t007 bn:00064234n
d010.s018.t009 bn:00064234n
d013.s010.t001 bn:00064234n
d009.s014.t005 bn:00061054n
d006.s010.t007 bn:00032047n
d007.s022.t004 bn:00025693n
d001.s024.t005 bn:00048242n
d009.s016.t002 bn:00048242n
d009.s023.t006 bn:00048242n
d010.s023.t004 bn:00048242n
d012.s006.t004 bn:00048242n
d012.s011.t005 bn:00048242n
d012.s012.t004 bn:00048242n
d013.s007.t004 bn:00016403n
d006.s007.t002 bn:00016403n
d006.s009.t002 bn:00016403n
d006.s009.t009 bn:00016403n
d006.s010.t002 bn:00016403n
d006.s012.t007 bn:00016403n
d006.s013.t012 bn:00016403n
d006.s016.t004 bn:00016403n
d006.s017.t008 bn:00016403n
d006.s023.t004 bn:00016403n
d006.s028.t009 bn:00016403n
d006.s031.t007 bn:00016403n
d010.s004.t003 bn:00016403n
d006.s021.t007 bn:00064806n
d004.s019.t008 bn:00064594n
d009.s012.t003 bn:00064594n
d013.s005.t009 bn:00054416n
d006.s016.t006 bn:00064601n
d006.s017.t001 bn:00064601n
d008.s014.t010 bn:00064601n
d008.s025.t001 bn:00064601n
d010.s016.t011 bn:00021497n
d012.s011.t001 bn:00021497n
d007.s009.t005 bn:00002065n
d003.s007.t002 bn:00065108n
d001.s019.t003 bn:00041585n
d004.s017.t003 bn:00041585n
d001.s017.t002 bn:00041585n
d012.s016.t002 bn:00066414n
d009.s017.t004 bn:00066516n
d009.s022.t001 bn:00066516n
d009.s004.t003 bn:00005515n
d009.s014.t001 bn:00005515n
d009.s029.t007 bn:00028188n
d007.s017.t006 bn:00021961n
d009.s007.t002 bn:00021961n
d010.s005.t005 bn:00021961n
d001.s025.t006 bn:00041948n
d006.s016.t001 bn:00047021n
d006.s003.t002 bn:00067181n
d006.s016.t011 bn:00067181n
d008.s006.t005 bn:00067181n
d008.s009.t004 bn:00067181n
d008.s012.t006 bn:00067181n
d008.s015.t002 bn:00067280n
d008.s027.t007 bn:00067280n
d008.s028.t001 bn:00067280n
d011.s003.t002 bn:00041948n
d011.s010.t010 bn:00041948n
d012.s003.t014 bn:00029545n
d004.s012.t008 bn:00030747n
d004.s011.t002 bn:00068799n
d006.s019.t011 bn:00057001n
d006.s024.t011 bn:00070459n
d002.s016.t009 bn:00070056n
d012.s013.t012 bn:00029416n
d012.s015.t008 bn:00029416n
d012.s018.t002 bn:00029416n
d012.s019.t013 bn:00029416n
d012.s020.t004 bn:00029416n
d011.s010.t005 bn:00068696n
d010.s002.t008 bn:00043358n
d001.s018.t002 bn:00026061n
d001.s018.t004 bn:00026061n
d005.s003.t009 bn:00026061n
d002.s013.t012 bn:00069755n
d001.s008.t007 bn:00070168n
d001.s004.t005 bn:00043484n
d001.s016.t006 bn:00043484n
d001.s025.t011 bn:00043484n
d009.s019.t003 bn:00043484n
d011.s013.t001 bn:00043484n
d007.s010.t013 bn:00070494n
d009.s007.t005 bn:00070537n
d013.s018.t001 bn:00070537n
d012.s003.t013 bn:00070648n
d012.s002.t005 bn:00070651n
d004.s001.t004 bn:00072566n
d004.s002.t005 bn:00072566n
d004.s005.t001 bn:00021286n
d004.s009.t005 bn:00021286n
d004.s009.t006 bn:00072566n
d004.s011.t007 bn:00021286n
d004.s012.t001 bn:00021286n
d004.s012.t004 bn:00021286n
d004.s013.t002 bn:00021286n
d004.s014.t001 bn:00021286n
d004.s015.t001 bn:00021286n
d004.s018.t001 bn:00021286n
d004.s019.t001 bn:00021286n
d012.s009.t005 bn:00072566n
d013.s017.t003 bn:00008364n
d010.s004.t005 bn:00043361n
d003.s013.t005 bn:00031998n
d005.s008.t002 bn:00031998n
d008.s007.t008 bn:00006846n
d007.s001.t001 bn:00006759n
d007.s008.t003 bn:00006759n
d007.s027.t003 bn:00006759n
d012.s002.t010 bn:00063703n
d007.s018.t001 bn:00069579n
d012.s005.t001 bn:00022157n
d013.s007.t002 bn:00022157n
d013.s020.t003 bn:00075427n
d013.s024.t002 bn:00075427n
d006.s014.t004 bn:00076373n
d006.s003.t003 bn:00076677n
d009.s010.t005 bn:00075812n
d009.s013.t006 bn:00075812n
d007.s009.t020 bn:00076338n
d002.s016.t007 bn:00076369n
d001.s006.t013 bn:00076457n
d001.s005.t006 bn:00076589n
d002.s002.t004 bn:00008203n
d002.s006.t005 bn:00008203n
d002.s010.t007 bn:00008203n
d008.s010.t004 bn:00029424n
d008.s026.t004 bn:00029424n
d001.s003.t001 bn:00076732n
d001.s005.t002 bn:00076732n
d001.s008.t003 bn:00076732n
d001.s015.t008 bn:00076732n
d001.s017.t006 bn:00076967n
d005.s006.t005 bn:00035925n
d001.s021.t005 bn:00000728n
d001.s022.t004 bn:00000728n
d001.s017.t001 bn:00035211n
d006.s006.t006 bn:00023308n
d006.s015.t002 bn:00023308n
d010.s005.t011 bn:00023308n
d010.s006.t002 bn:00023308n
d010.s010.t005 bn:00023308n
d010.s019.t007 bn:00023308n
d013.s007.t005 bn:00023308n
d002.s002.t002 bn:00078365n
d004.s011.t006 bn:00078394n
d005.s010.t003 bn:00016015n
d008.s009.t001 bn:00079152n
d003.s009.t007 bn:00079156n
d003.s011.t001 bn:00029680n
d013.s006.t002 bn:00029680n
d001.s002.t006 bn:00036512n
d001.s011.t003 bn:00036512n
d001.s012.t001 bn:00036512n
d001.s022.t006 bn:00036512n
d003.s002.t003 bn:00036512n
d004.s005.t003 bn:00036512n
d011.s006.t002 bn:00036512n
d013.s019.t005 bn:00002216n
d003.s008.t001 bn:00053480n
d005.s006.t004 bn:00053480n
d006.s021.t009 bn:00034552n
d006.s024.t002 bn:00034552n
d001.s028.t003 bn:00079435n
d002.s001.t001 bn:00078365n
d002.s003.t007 bn:00078365n
d002.s004.t005 bn:00078365n
d002.s016.t006 bn:00078365n
d006.s004.t006 bn:00006469n
d001.s007.t003 bn:00003365n
d004.s015.t004 bn:00080816n
d006.s021.t012 bn:00080816n
d012.s021.t013 bn:00081800n
