d001.s011.t012 bn:00002954n
d006.s004.t006 bn:00044994n
d011.s007.t008 bn:00044532n
d001.s003.t006 bn:00022742n
d012.s008.t004 bn:00044759n
d011.s014.t002 bn:00000009n
d007.s009.t007 bn:00004527n
d008.s026.t004 bn:00045800n
d012.s001.t001 bn:00046021n
d012.s012.t002 bn:00046021n
d012.s013.t004 bn:00046021n
d003.s004.t001 bn:00046419n
d001.s023.t009 bn:00010203n
d003.s002.t006 bn:00050378n
d005.s005.t001 bn:00046952n
d009.s009.t003 bn:00046954n
d008.s012.t006 bn:00024712n
d006.s029.t001 bn:00047238n
d005.s009.t004 bn:00047365n
d005.s006.t006 bn:00047367n
d013.s020.t001 bn:00047367n
d004.s009.t001 bn:00002362n
d004.s010.t002 bn:00002362n
d004.s011.t007 bn:00002362n
d004.s018.t003 bn:00002362n
d002.s001.t002 bn:00047679n
d006.s015.t003 bn:00017234n
d006.s033.t002 bn:00017234n
d004.s003.t008 bn:00025646n
d006.s012.t001 bn:00025646n
d009.s018.t001 bn:00025646n
d006.s029.t002 bn:00048461n
d004.s007.t003 bn:00048592n
d005.s013.t001 bn:00048592n
d006.s005.t008 bn:00048658n
d006.s007.t006 bn:00048658n
d006.s022.t014 bn:00048658n
d001.s018.t001 bn:00020858n
d005.s011.t004 bn:00015496n
d012.s003.t010 bn:00070648n
d006.s004.t005 bn:00018345n
d010.s004.t002 bn:00016403n
d010.s019.t004 bn:00016403n
d012.s008.t005 bn:00077356n
d001.s011.t011 bn:00019782n
d001.s021.t002 bn:00019782n
d008.s007.t001 bn:00006890n
d001.s019.t006 bn:00022995n
d002.s015.t004 bn:00035768n
d009.s003.t001 bn:00023827n
d009.s025.t002 bn:00023827n
d003.s001.t004 bn:00019479n
d003.s002.t003 bn:00002181n
d010.s019.t006 bn:00051016n
d001.s005.t003 bn:00023235n
d001.s005.t004 bn:00023236n
d001.s018.t009 bn:00023235n
d001.s019.t007 bn:00023235n
d001.s019.t008 bn:00023236n
d001.s021.t001 bn:00023235n
d001.s026.t007 bn:00023235n
d009.s005.t002 bn:00023235n
d009.s010.t001 bn:00023235n
d009.s013.t004 bn:00023235n
d009.s014.t003 bn:00023235n
d009.s016.t003 bn:00023235n
d009.s019.t002 bn:00023235n
d009.s022.t001 bn:00023235n
d009.s022.t002 bn:00023235n
d009.s025.t003 bn:00023235n
d009.s029.t003 bn:00023235n
d009.s032.t002 bn:00023235n
d009.s032.t005 bn:00023236n
d011.s004.t007 bn:00023235n
d012.s002.t006 bn:00023235n
d012.s006.t008 bn:00023235n
d012.s019.t003 bn:00023235n
d012.s022.t003 bn:00023235n
d009.s002.t002 bn:00050165n
d009.s008.t002 bn:00050165n
d009.s018.t002 bn:00050165n
d009.s019.t003 bn:00050165n
d009.s021.t002 bn:00050165n
d009.s021.t005 bn:00050165n
d009.s025.t001 bn:00050165n
d008.s003.t006 bn:00051054n
d008.s010.t004 bn:00051054n
d008.s010.t006 bn:00051054n
d008.s012.t009 bn:00051054n
d006.s010.t009 bn:00060907n
d001.s014.t002 bn:00070193n
d002.s015.t003 bn:00070193n
d012.s013.t010 bn:00029416n
d012.s015.t007 bn:00029416n
d012.s019.t008 bn:00029416n
d011.s010.t008 bn:00013179n
d010.s006.t003 bn:00053318n
d001.s019.t005 bn:00063940n
d012.s003.t007 bn:00053941n
d012.s013.t005 bn:00053941n
d012.s024.t002 bn:00053151n
d012.s019.t004 bn:00025913n
d003.s005.t001 bn:00053458n
d009.s028.t003 bn:00036346n
d009.s029.t002 bn:00036346n
d001.s025.t005 bn:00041948n
d001.s026.t008 bn:00059168n
d008.s014.t008 bn:00009716n
d012.s002.t007 bn:00045163n
d001.s020.t004 bn:00054693n
d009.s012.t001 bn:00054693n
d009.s013.t002 bn:00054693n
d009.s024.t001 bn:00054693n
d009.s032.t001 bn:00054693n
d012.s006.t005 bn:00000013n
d013.s003.t006 bn:00000013n
d013.s003.t008 bn:00000013n
d001.s027.t002 bn:00041200n
d004.s013.t005 bn:00055180n
d004.s019.t006 bn:00055180n
d002.s014.t003 bn:00055094n
d007.s004.t001 bn:00055094n
d001.s020.t005 bn:00017171n
d009.s024.t002 bn:00017171n
d009.s032.t003 bn:00017171n
d001.s008.t005 bn:00017123n
d011.s013.t005 bn:00036014n
d001.s027.t003 bn:00054897n
d003.s013.t003 bn:00054897n
d005.s003.t002 bn:00054897n
d003.s009.t004 bn:00014710n
d003.s010.t002 bn:00014710n
d006.s025.t001 bn:00014710n
d008.s025.t007 bn:00055809n
d010.s019.t001 bn:00031709n
d013.s015.t001 bn:00055949n
d008.s018.t003 bn:00056879n
d008.s030.t002 bn:00056879n
d003.s002.t011 bn:00056893n
d003.s003.t006 bn:00056893n
d003.s002.t001 bn:00010302n
d009.s032.t008 bn:00057614n
d012.s021.t007 bn:00057831n
d007.s003.t005 bn:00058192n
d001.s023.t002 bn:00058674n
d001.s028.t003 bn:00059480n
d010.s017.t006 bn:00059480n
d006.s013.t006 bn:00059675n
d001.s006.t001 bn:00060280n
d011.s006.t004 bn:00060340n
d013.s006.t001 bn:00060464n
d013.s007.t002 bn:00060834n
d001.s026.t003 bn:00046516n
d012.s023.t004 bn:00046516n
d009.s011.t001 bn:00061757n
d010.s003.t005 bn:00061826n
d008.s007.t005 bn:00006845n
d008.s008.t004 bn:00006845n
d008.s020.t003 bn:00006845n
d008.s022.t003 bn:00006845n
d008.s025.t002 bn:00006845n
d008.s026.t005 bn:00006845n
d001.s001.t001 bn:00062759n
d001.s018.t005 bn:00052888n
d008.s025.t006 bn:00052888n
d002.s016.t002 bn:00065099n
d007.s028.t002 bn:00063308n
d001.s028.t002 bn:00063351n
d012.s002.t003 bn:00063351n
d012.s002.t004 bn:00063351n
d012.s004.t001 bn:00063351n
d007.s007.t004 bn:00063989n
d009.s014.t002 bn:00063989n
d001.s025.t007 bn:00057552n
d008.s012.t002 bn:00057552n
d009.s028.t005 bn:00014137n
d009.s030.t005 bn:00014137n
d009.s003.t002 bn:00048242n
d009.s025.t004 bn:00048242n
d010.s024.t004 bn:00048242n
d012.s006.t007 bn:00048242n
d006.s016.t006 bn:00064601n
d006.s018.t001 bn:00064601n
d008.s014.t009 bn:00064601n
d010.s017.t010 bn:00021492n
d012.s011.t002 bn:00021492n
d001.s009.t005 bn:00061135n
d001.s009.t011 bn:00061135n
d001.s010.t003 bn:00061135n
d002.s009.t001 bn:00036777n
d002.s015.t002 bn:00036777n
d006.s009.t005 bn:00048655n
d006.s015.t001 bn:00007051n
d006.s019.t001 bn:00007051n
d006.s027.t004 bn:00007051n
d006.s030.t001 bn:00007051n
d006.s031.t001 bn:00007051n
d010.s020.t002 bn:00007051n
d010.s004.t004 bn:00066830n
d004.s002.t004 bn:00001426n
d009.s016.t005 bn:00001426n
d010.s007.t006 bn:00001426n
d009.s004.t002 bn:00066884n
d009.s006.t002 bn:00066884n
d009.s013.t005 bn:00066884n
d009.s031.t006 bn:00066884n
d011.s010.t002 bn:00066891n
d006.s010.t001 bn:00048488n
d006.s020.t003 bn:00048488n
d006.s022.t006 bn:00048488n
d010.s003.t003 bn:00048488n
d010.s005.t001 bn:00048488n
d010.s014.t001 bn:00048488n
d010.s017.t003 bn:00048488n
d010.s017.t007 bn:00048488n
d010.s019.t005 bn:00048488n
d010.s020.t001 bn:00048488n
d010.s024.t002 bn:00048488n
d004.s012.t004 bn:00030747n
d013.s005.t006 bn:00030747n
d004.s003.t005 bn:00068130n
d009.s032.t006 bn:00068130n
d004.s003.t004 bn:00068622n
d002.s011.t001 bn:00068495n
d002.s016.t008 bn:00070056n
d004.s002.t005 bn:00068696n
d011.s010.t005 bn:00068696n
d008.s007.t004 bn:00006912n
d007.s004.t005 bn:00058701n
d007.s015.t007 bn:00058701n
d013.s008.t003 bn:00025638n
d008.s007.t006 bn:00006846n
d001.s008.t004 bn:00060158n
d006.s025.t008 bn:00070458n
d010.s012.t004 bn:00070458n
d009.s007.t003 bn:00070537n
d013.s018.t001 bn:00070537n
d006.s011.t001 bn:00017362n
d002.s001.t001 bn:00078365n
d002.s003.t005 bn:00078365n
d002.s004.t001 bn:00078365n
d002.s014.t002 bn:00078365n
d007.s011.t004 bn:00000657n
d011.s002.t001 bn:00031605n
d001.s017.t003 bn:00037180n
d001.s020.t001 bn:00037180n
d002.s005.t001 bn:00037180n
d002.s008.t002 bn:00037180n
d002.s008.t003 bn:00037180n
d002.s010.t001 bn:00037180n
d002.s010.t007 bn:00037180n
d002.s016.t006 bn:00037180n
d007.s014.t003 bn:00060799n
d011.s002.t002 bn:00060799n
d011.s004.t006 bn:00060799n
d011.s007.t001 bn:00060799n
d011.s012.t002 bn:00060799n
d002.s006.t002 bn:00006752n
d002.s010.t005 bn:00006752n
d002.s005.t004 bn:00049603n
d007.s001.t001 bn:00006759n
d007.s010.t005 bn:00006759n
d007.s011.t003 bn:00006759n
d007.s029.t003 bn:00006759n
d011.s016.t005 bn:00036014n
d005.s010.t004 bn:00023236n
d010.s004.t003 bn:00023236n
d008.s007.t003 bn:00006901n
d009.s008.t001 bn:00045201n
d007.s026.t002 bn:00061325n
d012.s003.t001 bn:00029806n
d001.s016.t002 bn:00000127n
d010.s011.t002 bn:00000127n
d005.s007.t002 bn:00001296n
d001.s025.t006 bn:00028247n
d010.s002.t003 bn:00028247n
d009.s010.t003 bn:00075812n
d010.s002.t001 bn:00000086n
d010.s022.t004 bn:00001968n
d002.s013.t001 bn:00073699n
d002.s016.t003 bn:00073699n
d007.s004.t002 bn:00073699n
d007.s009.t004 bn:00073699n
d007.s018.t005 bn:00073699n
d007.s021.t003 bn:00073699n
d011.s019.t002 bn:00073699n
d001.s003.t001 bn:00076732n
d001.s005.t001 bn:00076732n
d001.s015.t005 bn:00076732n
d012.s005.t001 bn:00074900n
d013.s007.t001 bn:00074900n
d007.s003.t007 bn:00046794n
d006.s016.t007 bn:00015656n
d006.s022.t003 bn:00015656n
d004.s009.t004 bn:00037486n
d011.s010.t003 bn:00040851n
d011.s010.t009 bn:00040851n
d007.s006.t002 bn:00020119n
d001.s002.t009 bn:00041712n
d001.s003.t005 bn:00041712n
d011.s004.t003 bn:00019887n
d003.s009.t005 bn:00079156n
d010.s021.t005 bn:00046077n
d004.s004.t001 bn:00021286n
d004.s005.t001 bn:00021286n
d004.s006.t001 bn:00014137n
d004.s007.t001 bn:00021286n
d004.s013.t003 bn:00021286n
d004.s015.t001 bn:00021286n
d004.s016.t003 bn:00021286n
d004.s018.t001 bn:00021286n
d004.s019.t001 bn:00021286n
d010.s008.t003 bn:00021286n
d010.s009.t001 bn:00021286n
d006.s013.t004 bn:00021628n
d001.s011.t008 bn:00079129n
d003.s002.t005 bn:00003341n
d003.s008.t001 bn:00003341n
d009.s032.t004 bn:00003341n
d010.s004.t010 bn:00003341n
d010.s019.t012 bn:00003341n
d013.s001.t002 bn:00003341n
d013.s002.t003 bn:00003341n
d013.s003.t004 bn:00003341n
d013.s019.t004 bn:00003341n
d009.s030.t002 bn:00067239n
d009.s031.t010 bn:00067239n
d009.s032.t009 bn:00067239n
d001.s002.t004 bn:00065108n
d005.s010.t003 bn:00058469n
d003.s009.t002 bn:00022095n
d006.s014.t004 bn:00023807n
d009.s026.t004 bn:00023807n
d001.s016.t007 bn:00003341n
d001.s018.t007 bn:00003341n
d006.s013.t003 bn:00003341n
d009.s004.t005 bn:00003341n
d009.s031.t007 bn:00003341n
d008.s014.t010 bn:00013173n
d006.s004.t003 bn:00006469n
d013.s013.t001 bn:00059750n
d001.s004.t002 bn:00026838n
d003.s008.t002 bn:00068918n
d001.s016.t004 bn:00047021n
d001.s018.t008 bn:00058469n
d004.s018.t002 bn:00058469n
d006.s004.t002 bn:00025878n
d010.s008.t007 bn:00025878n
d010.s026.t004 bn:00025878n
d001.s021.t003 bn:00000728n
d004.s001.t001 bn:00000728n
d004.s003.t002 bn:00000728n
d004.s007.t002 bn:00022227n
d004.s013.t004 bn:00000728n
d004.s015.t005 bn:00022227n
d004.s016.t002 bn:00022227n
d004.s016.t004 bn:00022227n
d012.s021.t003 bn:00027862n
d001.s028.t001 bn:00079435n
d013.s022.t004 bn:00080229n
d012.s012.t001 bn:00045976n
d012.s015.t004 bn:00045976n
d012.s012.t005 bn:00030113n
d006.s025.t005 bn:00015050n
d005.s006.t002 bn:00022372n
d001.s007.t005 bn:00032035n
d008.s007.t002 bn:00006823n
d004.s009.t005 bn:00033729n
d004.s017.t003 bn:00033729n
d001.s004.t005 bn:00029424n
d004.s011.t008 bn:00029424n
d007.s007.t005 bn:00029424n
d012.s006.t013 bn:00029424n
d004.s017.t004 bn:01587256n
d009.s019.t001 bn:00026406n
d012.s013.t002 bn:00062309n
d003.s011.t001 bn:00029680n
d009.s017.t001 bn:00029680n
d009.s027.t003 bn:00029680n
d013.s006.t003 bn:00029680n
d013.s023.t004 bn:00029680n
d013.s019.t005 bn:00002216n
d009.s011.t002 bn:00029678n
d009.s012.t002 bn:00029678n
d009.s023.t002 bn:00029678n
d012.s001.t003 bn:00029678n
d012.s009.t004 bn:00029678n
d012.s013.t001 bn:00029667n
d009.s028.t001 bn:00059788n
d012.s013.t009 bn:00029670n
d012.s021.t004 bn:00029670n
d008.s003.t001 bn:00069680n
d008.s008.t001 bn:00069680n
d008.s010.t005 bn:00069680n
d001.s004.t004 bn:00043484n
d001.s012.t004 bn:00043484n
d001.s025.t008 bn:00043484n
d006.s010.t003 bn:00043484n
d009.s021.t003 bn:00043484n
d011.s013.t001 bn:00043484n
d004.s015.t004 bn:00080813n
d006.s022.t015 bn:00080813n
d012.s003.t004 bn:00057574n
d006.s011.t002 bn:00081546n
d012.s021.t012 bn:00081801n
d012.s002.t002 bn:00058285n
d005.s005.t007 bn:00061119n
d013.s009.t002 bn:00061119n
d012.s024.t004 bn:00077593n
d012.s025.t001 bn:00077593n
d005.s008.t003 bn:00077270n
d006.s015.t007 bn:00077270n
d007.s004.t003 bn:00077270n
d008.s006.t007 bn:00052671n
d001.s002.t011 bn:00036941n
d006.s012.t004 bn:00028425n
