d006.s013.t008 bn:00001530n
d009.s031.t007 bn:00003341n
d003.s002.t006 bn:00050378n
d001.s028.t003 bn:00059480n
d010.s004.t003 bn:00023236n
d005.s003.t009 bn:00031888n
d001.s016.t004 bn:00047021n
d001.s001.t001 bn:00062759n
d004.s005.t004 bn:00036512n
d009.s032.t002 bn:00023235n
d006.s016.t007 bn:00015656n
d003.s002.t010 bn:00061135n
d004.s019.t004 bn:00008694n
d006.s011.t002 bn:00081546n
d001.s014.t005 bn:00014103n
d013.s023.t007 bn:00078738n
d013.s022.t002 bn:00033638n
d006.s032.t002 bn:00048496n
d009.s017.t001 bn:00029680n
d009.s003.t001 bn:00023827n
d001.s002.t006 bn:00017219n
d013.s005.t003 bn:00023681n
d013.s006.t004 bn:00008364n
d004.s002.t005 bn:00068696n
d006.s029.t002 bn:00048461n
d005.s006.t005 bn:00055644n
d011.s019.t002 bn:00073699n
d006.s010.t001 bn:00048488n
d007.s015.t003 bn:00015925n
d009.s016.t003 bn:00023235n
d001.s020.t001 bn:00037180n
d008.s007.t004 bn:00006912n
d008.s029.t004 bn:00040165n
d009.s031.t013 bn:00078738n
d009.s024.t001 bn:00054693n
d012.s008.t006 bn:00078738n
d007.s008.t002 bn:00031735n
d006.s033.t002 bn:00017234n
d006.s025.t001 bn:00014710n
d006.s026.t002 bn:00034625n
d012.s023.t003 bn:00026684n
d012.s006.t011 bn:00036202n
d009.s031.t002 bn:00061135n
d008.s025.t002 bn:00006845n
d006.s024.t003 bn:00023362n
d006.s018.t001 bn:00064601n
d006.s012.t001 bn:00025646n
d005.s003.t007 bn:00028114n
d003.s006.t003 bn:00078738n
d009.s018.t001 bn:00025646n
d008.s014.t007 bn:00051675n
d001.s021.t003 bn:00000728n
d005.s010.t003 bn:00000762n
d012.s003.t010 bn:00070648n
d001.s017.t003 bn:00037180n
d002.s011.t001 bn:00068495n
d006.s009.t005 bn:00048655n
d002.s003.t005 bn:00078365n
d008.s014.t009 bn:00064601n
d009.s014.t003 bn:00023235n
d011.s007.t001 bn:00060799n
d001.s011.t002 bn:00075966n
d009.s012.t002 bn:00029678n
d009.s032.t008 bn:00057614n
d011.s004.t007 bn:00023235n
d001.s018.t001 bn:00005731n
d011.s006.t004 bn:00060340n
d013.s003.t004 bn:00003341n
d003.s003.t003 bn:00028458n
d011.s012.t002 bn:00060799n
d005.s009.t004 bn:00047365n
d006.s005.t005 bn:00021904n
d008.s011.t003 bn:00029424n
d013.s006.t001 bn:00060464n
d007.s006.t002 bn:00020119n
d001.s025.t004 bn:00001697n
d009.s023.t001 bn:00012786n
d006.s032.t004 bn:00021624n
d009.s004.t005 bn:00003341n
d001.s018.t006 bn:00016756n
d009.s027.t002 bn:00078738n
d005.s011.t003 bn:00028114n
d008.s025.t007 bn:00055809n
d004.s004.t003 bn:00006752n
d006.s005.t007 bn:00015656n
d006.s007.t002 bn:00023362n
d001.s002.t005 bn:00028018n
d001.s005.t001 bn:00076732n
d010.s008.t002 bn:00000020n
d001.s018.t005 bn:00052888n
d003.s001.t003 bn:00028114n
d006.s019.t001 bn:00007051n
d012.s002.t006 bn:00023235n
d006.s015.t001 bn:00007051n
d001.s003.t001 bn:00076732n
d006.s008.t001 bn:00058461n
d013.s003.t006 bn:00000013n
d009.s015.t003 bn:00078738n
d009.s013.t005 bn:00066884n
d009.s032.t004 bn:00003341n
d013.s003.t011 bn:00023681n
d009.s031.t006 bn:00066884n
d006.s013.t006 bn:00059675n
d008.s010.t001 bn:00027529n
d011.s010.t009 bn:00040851n
d004.s019.t007 bn:00034267n
d009.s011.t008 bn:00078738n
d008.s008.t001 bn:00069680n
d010.s006.t003 bn:00053318n
d008.s026.t006 bn:00005917n
d001.s013.t002 bn:00018663n
d012.s012.t005 bn:00030113n
d007.s009.t002 bn:00005601n
d008.s025.t008 bn:00005917n
d009.s008.t001 bn:00045201n
d006.s025.t007 bn:00041204n
d011.s006.t002 bn:00036512n
d012.s020.t007 bn:00061135n
d010.s004.t002 bn:00016403n
d012.s006.t013 bn:00022991n
d002.s010.t005 bn:00006752n
d009.s030.t001 bn:00061135n
d004.s014.t003 bn:00078738n
d005.s006.t002 bn:00022372n
d013.s019.t005 bn:00002216n
d003.s002.t012 bn:00061135n
d003.s013.t010 bn:00061135n
d012.s019.t005 bn:00003755n
d009.s019.t002 bn:00023235n
d008.s017.t001 bn:00027529n
d008.s008.t004 bn:00006845n
d009.s031.t011 bn:00061135n
d006.s010.t003 bn:00043484n
d009.s011.t003 bn:00061135n
d005.s010.t004 bn:00023235n
d001.s016.t003 bn:00000741n
d006.s030.t004 bn:00023308n
d012.s006.t008 bn:00023235n
d012.s002.t004 bn:00063329n
d009.s032.t009 bn:00067239n
d002.s016.t006 bn:00037180n
d009.s007.t005 bn:00032512n
d004.s019.t006 bn:00055180n
d010.s003.t005 bn:00061826n
d001.s011.t008 bn:00079129n
d012.s021.t003 bn:00027862n
d007.s017.t001 bn:00047208n
d006.s005.t003 bn:00032893n
d001.s016.t009 bn:00043415n
d007.s021.t003 bn:00073699n
d004.s003.t006 bn:00064229n
d005.s005.t004 bn:00055644n
d010.s004.t007 bn:00021845n
d006.s011.t001 bn:00017362n
d010.s024.t002 bn:00048488n
d011.s016.t005 bn:00036014n
d009.s029.t005 bn:00061135n
d010.s007.t006 bn:00001426n
d004.s017.t001 bn:00047203n
d002.s008.t002 bn:00037180n
d008.s030.t002 bn:00056879n
d009.s031.t008 bn:00061135n
d009.s028.t008 bn:00061135n
d006.s016.t006 bn:00064601n
d009.s028.t003 bn:00036346n
d010.s013.t002 bn:00027206n
d012.s003.t002 bn:00042917n
d001.s025.t005 bn:00041948n
d012.s024.t002 bn:00053151n
d006.s032.t003 bn:00044064n
d001.s014.t002 bn:00070193n
d006.s010.t007 bn:00032047n
d007.s015.t007 bn:00058701n
d013.s019.t004 bn:00003341n
d004.s016.t006 bn:00000356n
d008.s022.t002 bn:00005917n
d009.s003.t003 bn:00079045n
d008.s020.t001 bn:00077790n
d006.s006.t005 bn:00014839n
d013.s008.t001 bn:00008364n
d012.s017.t004 bn:00026980n
d001.s020.t004 bn:00054693n
d006.s030.t001 bn:00007051n
d009.s028.t005 bn:00014137n
d004.s011.t007 bn:00002362n
d002.s010.t006 bn:00042759n
d010.s002.t004 bn:00047208n
d007.s014.t003 bn:00060799n
d011.s002.t002 bn:00060799n
d009.s028.t009 bn:00017904n
d010.s017.t004 bn:00017818n
d003.s008.t005 bn:00061135n
d011.s004.t006 bn:00060799n
d008.s021.t002 bn:00018105n
d001.s003.t004 bn:00064077n
d006.s022.t005 bn:00047208n
d012.s013.t002 bn:00062309n
d005.s011.t001 bn:00076744n
d009.s025.t004 bn:00048242n
d005.s004.t002 bn:00067181n
d008.s006.t007 bn:00052671n
d002.s010.t001 bn:00037180n
d013.s022.t003 bn:00033911n
d003.s002.t001 bn:00010302n
d011.s004.t001 bn:00023012n
d010.s021.t005 bn:00046077n
d006.s022.t013 bn:00048496n
d001.s027.t002 bn:00041200n
d006.s013.t004 bn:00021628n
d002.s009.t001 bn:00036777n
d003.s002.t002 bn:00036512n
d010.s019.t006 bn:00051016n
d009.s015.t002 bn:00061135n
d002.s010.t007 bn:00037180n
d008.s003.t007 bn:00018105n
d004.s015.t004 bn:00080813n
d009.s031.t003 bn:00061135n
d008.s009.t002 bn:00067181n
d001.s019.t004 bn:00023012n
d006.s022.t015 bn:00080813n
d012.s012.t002 bn:00046021n
d010.s024.t004 bn:00048242n
d001.s009.t005 bn:00061135n
d008.s007.t006 bn:00006846n
d001.s027.t003 bn:00054897n
d010.s004.t001 bn:00016403n
d001.s004.t005 bn:00022991n
d012.s003.t007 bn:00053941n
d006.s013.t003 bn:00003341n
d001.s018.t003 bn:00029676n
d003.s005.t001 bn:00053458n
d002.s005.t004 bn:00049603n
d010.s017.t010 bn:00021492n
d008.s010.t004 bn:00051054n
d004.s012.t005 bn:00070914n
d002.s015.t004 bn:00035768n
d008.s012.t006 bn:00024712n
d011.s004.t003 bn:00019887n
d010.s020.t004 bn:00023308n
d010.s010.t001 bn:00061047n
d008.s025.t001 bn:00054731n
d006.s021.t004 bn:00078738n
d013.s020.t001 bn:00047367n
d009.s027.t003 bn:00029680n
d004.s002.t002 bn:00035772n
d008.s012.t004 bn:00027529n
d006.s027.t004 bn:00007051n
d001.s011.t011 bn:00019782n
d010.s017.t008 bn:00073171n
d002.s014.t003 bn:00055094n
d007.s018.t005 bn:00073699n
d004.s007.t001 bn:00021286n
d001.s019.t005 bn:00063940n
d006.s029.t007 bn:00023362n
d008.s002.t001 bn:00027529n
d010.s003.t004 bn:00041948n
d007.s011.t004 bn:00000657n
d013.s006.t003 bn:00029680n
d010.s020.t001 bn:00048488n
d004.s019.t001 bn:00021286n
d006.s019.t002 bn:00078738n
d009.s022.t001 bn:00023235n
d004.s001.t001 bn:00000728n
d013.s002.t003 bn:00003341n
d006.s004.t005 bn:00018345n
d009.s012.t003 bn:00078738n
d008.s026.t004 bn:00045800n
d006.s025.t004 bn:00021904n
d011.s010.t002 bn:00059469n
d004.s013.t003 bn:00021286n
d001.s012.t004 bn:00043484n
d001.s006.t001 bn:00060280n
d013.s009.t004 bn:00028114n
d006.s021.t001 bn:00048658n
d004.s009.t002 bn:00078738n
d004.s007.t004 bn:00034267n
d006.s029.t001 bn:00047238n
d009.s015.t004 bn:00017904n
d012.s010.t003 bn:00046019n
d010.s022.t004 bn:00001968n
d011.s024.t001 bn:00023012n
d012.s006.t012 bn:00046157n
d006.s006.t006 bn:00023308n
d009.s009.t003 bn:00046954n
d004.s019.t003 bn:00033939n
d012.s014.t001 bn:00046021n
d004.s006.t001 bn:00031008n
d005.s011.t004 bn:00015496n
d012.s003.t008 bn:00036202n
d005.s003.t002 bn:00054897n
d009.s026.t001 bn:00061135n
d009.s024.t002 bn:00017171n
d006.s010.t009 bn:00060907n
d005.s008.t003 bn:00077270n
d012.s019.t001 bn:00059129n
d004.s013.t004 bn:00000728n
d007.s003.t007 bn:00046794n
d006.s004.t003 bn:00006469n
d006.s015.t003 bn:00017234n
d006.s022.t003 bn:00015656n
d001.s021.t005 bn:00075966n
d007.s020.t004 bn:00030844n
d010.s018.t002 bn:00016403n
d007.s007.t005 bn:00022991n
d008.s023.t002 bn:00007854n
d008.s025.t003 bn:00005917n
d012.s015.t004 bn:00045976n
d012.s025.t002 bn:00046019n
d012.s016.t001 bn:00032306n
d008.s007.t003 bn:00006901n
d009.s016.t002 bn:00021845n
d010.s009.t001 bn:00021286n
d012.s021.t013 bn:00046019n
d008.s012.t009 bn:00051054n
d012.s001.t003 bn:00029678n
d012.s021.t007 bn:00057831n
d004.s003.t002 bn:00000728n
d012.s019.t008 bn:00029416n
d003.s013.t008 bn:00078738n
d003.s002.t011 bn:00056893n
d003.s008.t001 bn:00003341n
d010.s019.t004 bn:00016403n
d002.s001.t001 bn:00078365n
d007.s019.t003 bn:00020039n
d009.s025.t002 bn:00023827n
d004.s002.t001 bn:00021461n
d001.s020.t005 bn:00017171n
d004.s010.t002 bn:00002362n
d004.s003.t004 bn:00068622n
d002.s016.t003 bn:00073699n
d009.s009.t002 bn:00021207n
d008.s010.t007 bn:00035908n
d007.s009.t009 bn:00044654n
d001.s003.t005 bn:00041712n
d010.s019.t010 bn:00064234n
d011.s007.t004 bn:00030861n
d009.s006.t002 bn:00066884n
d001.s026.t009 bn:00042759n
d001.s011.t015 bn:00025949n
d011.s010.t008 bn:00013179n
d003.s002.t009 bn:00028458n
d013.s015.t001 bn:00055949n
d003.s013.t004 bn:00031998n
d013.s023.t004 bn:00029680n
d006.s013.t001 bn:00048496n
d004.s015.t005 bn:00022227n
d001.s028.t002 bn:00063329n
d010.s008.t003 bn:00021286n
d011.s023.t001 bn:00040851n
d011.s010.t005 bn:00068696n
d007.s007.t004 bn:00063989n
d004.s005.t003 bn:00007085n
d002.s004.t001 bn:00078365n
d009.s028.t001 bn:00059788n
d001.s012.t003 bn:00075966n
d001.s016.t002 bn:00000127n
d010.s007.t003 bn:00050588n
d001.s009.t010 bn:00061605n
d013.s003.t008 bn:00000013n
d007.s003.t005 bn:00058192n
d005.s013.t001 bn:00048592n
d009.s008.t002 bn:00050165n
d010.s008.t004 bn:00027206n
d009.s023.t003 bn:00063592n
d012.s023.t004 bn:00046516n
d009.s030.t003 bn:00063237n
d009.s021.t007 bn:00061135n
d001.s009.t008 bn:00026694n
d007.s028.t002 bn:00063309n
d001.s021.t002 bn:00019782n
d009.s030.t004 bn:00061135n
d005.s005.t001 bn:00046952n
d009.s022.t003 bn:00017904n
d001.s002.t003 bn:00036512n
d006.s013.t009 bn:00048496n
d009.s029.t003 bn:00023235n
d009.s029.t002 bn:00036346n
d007.s009.t007 bn:00004527n
d001.s012.t002 bn:00034718n
d001.s005.t003 bn:00023235n
d011.s007.t008 bn:00044532n
d010.s026.t004 bn:00025878n
d011.s012.t004 bn:00008553n
d009.s010.t003 bn:00075812n
d012.s013.t001 bn:00029667n
d006.s014.t004 bn:00023807n
d008.s018.t003 bn:00056879n
d010.s026.t003 bn:00016403n
d001.s016.t007 bn:00003341n
d003.s013.t007 bn:00011974n
d010.s007.t005 bn:00007054n
d009.s025.t001 bn:00050165n
d012.s003.t004 bn:00057574n
d006.s028.t001 bn:00017219n
d010.s001.t002 bn:00023308n
d001.s025.t007 bn:00057552n
d001.s026.t007 bn:00023235n
d003.s009.t003 bn:00025645n
d001.s018.t007 bn:00003341n
d008.s008.t002 bn:00007854n
d010.s026.t005 bn:00050588n
d009.s003.t002 bn:00048242n
d004.s017.t002 bn:00016756n
d007.s004.t003 bn:00077270n
d010.s004.t004 bn:00066830n
d012.s005.t001 bn:00074900n
d008.s001.t003 bn:00029424n
d006.s005.t001 bn:00076744n
d006.s004.t007 bn:00034625n
d003.s002.t008 bn:00028114n
d010.s011.t002 bn:00000127n
d003.s011.t001 bn:00029680n
d013.s018.t001 bn:00070537n
d011.s014.t002 bn:00000009n
d009.s013.t003 bn:00012786n
d002.s008.t006 bn:00005053n
d006.s013.t002 bn:00044064n
d001.s016.t008 bn:00016756n
d006.s012.t004 bn:00028425n
d008.s012.t002 bn:00057552n
d006.s022.t001 bn:00025890n
d003.s013.t001 bn:00047691n
d006.s014.t001 bn:00076429n
d013.s007.t002 bn:00060834n
d009.s011.t002 bn:00029678n
d004.s009.t001 bn:00002362n
d001.s007.t002 bn:00035189n
d012.s021.t012 bn:00081801n
d013.s019.t003 bn:00008364n
d008.s003.t001 bn:00069680n
d012.s023.t002 bn:00078738n
d001.s007.t005 bn:00003365n
d009.s028.t007 bn:00078738n
d013.s007.t003 bn:00023308n
d010.s021.t004 bn:00016853n
d008.s014.t008 bn:00009716n
d010.s003.t002 bn:00076744n
d009.s030.t006 bn:00064234n
d013.s023.t006 bn:00028114n
d011.s013.t001 bn:00043484n
d012.s011.t002 bn:00021492n
d010.s011.t003 bn:00023308n
d010.s002.t011 bn:00027206n
d007.s002.t003 bn:00080216n
d006.s017.t001 bn:00067181n
d006.s015.t007 bn:00077270n
d008.s003.t002 bn:00007854n
d009.s021.t001 bn:00067181n
d004.s016.t003 bn:00021286n
d010.s004.t010 bn:00003341n
d012.s020.t003 bn:00061135n
d009.s025.t003 bn:00023235n
d012.s015.t001 bn:00033854n
d004.s002.t004 bn:00001426n
d001.s018.t010 bn:00000020n
d012.s006.t005 bn:00000013n
d006.s020.t001 bn:00025890n
d009.s026.t002 bn:00078738n
d010.s001.t003 bn:00016403n
d009.s002.t001 bn:00021207n
d012.s023.t006 bn:00005677n
d003.s004.t003 bn:00061135n
d001.s025.t008 bn:00043484n
d005.s005.t008 bn:00033939n
d004.s003.t007 bn:00058745n
d012.s021.t005 bn:00064765n
d012.s022.t001 bn:00046021n
d009.s011.t007 bn:00061135n
d012.s009.t005 bn:00072566n
d004.s009.t004 bn:00040846n
d010.s019.t012 bn:00003341n
d001.s014.t006 bn:00078738n
d004.s004.t002 bn:00060768n
d001.s019.t006 bn:00022995n
d008.s019.t003 bn:00054731n
d011.s002.t001 bn:00031605n
d006.s022.t014 bn:00048658n
d012.s002.t003 bn:00063329n
d002.s008.t008 bn:00020419n
d010.s023.t001 bn:00053531n
d002.s008.t003 bn:00037180n
d008.s003.t004 bn:00063237n
d010.s002.t001 bn:00000086n
d013.s022.t006 bn:00028114n
d008.s020.t003 bn:00006845n
d001.s005.t002 bn:00055652n
d012.s008.t005 bn:00077356n
d012.s009.t004 bn:00029678n
d010.s011.t001 bn:00027206n
d001.s002.t004 bn:00065108n
d006.s023.t001 bn:00048658n
d004.s012.t002 bn:00042757n
d006.s004.t006 bn:00044994n
d008.s025.t005 bn:00029424n
d008.s014.t010 bn:00013173n
d001.s009.t001 bn:00035318n
d009.s029.t001 bn:00061135n
d003.s001.t004 bn:00002181n
d006.s025.t005 bn:00015050n
d003.s013.t003 bn:00054897n
d010.s017.t006 bn:00059480n
d008.s007.t001 bn:00006890n
d007.s010.t002 bn:00005601n
d006.s002.t001 bn:00000020n
d002.s003.t003 bn:00076309n
d012.s017.t001 bn:00046019n
d012.s021.t008 bn:00041092n
d006.s026.t003 bn:00030581n
d010.s017.t003 bn:00048488n
d006.s016.t008 bn:00021904n
d009.s019.t001 bn:00026406n
d006.s021.t007 bn:00000298n
d011.s008.t003 bn:00081625n
d012.s015.t007 bn:00029416n
d006.s004.t002 bn:00025871n
d005.s006.t004 bn:00028114n
d004.s005.t002 bn:00030844n
d001.s018.t002 bn:00026061n
d001.s002.t011 bn:00036941n
d012.s023.t009 bn:00031888n
d003.s002.t003 bn:00002181n
d009.s013.t002 bn:00054693n
d008.s001.t001 bn:00054731n
d004.s005.t001 bn:00021286n
d009.s021.t006 bn:00078738n
d004.s018.t002 bn:00064699n
d011.s007.t002 bn:00020039n
d013.s022.t004 bn:00080229n
d001.s010.t003 bn:00061135n
d009.s017.t002 bn:00078738n
d001.s015.t005 bn:00076732n
d002.s016.t002 bn:00065099n
d006.s015.t004 bn:00005603n
d001.s021.t001 bn:00023235n
d012.s021.t004 bn:00029670n
d006.s031.t001 bn:00007051n
d009.s016.t005 bn:00001426n
d010.s006.t006 bn:00021628n
d003.s004.t001 bn:00046418n
d006.s006.t007 bn:00078738n
d004.s007.t002 bn:00000728n
d004.s003.t008 bn:00025646n
d003.s009.t005 bn:00079156n
d008.s007.t002 bn:00006823n
d006.s025.t008 bn:00070458n
d004.s003.t003 bn:00016756n
d012.s022.t006 bn:00061135n
d004.s015.t001 bn:00021286n
d003.s010.t002 bn:00014710n
d013.s007.t001 bn:00074900n
d009.s032.t007 bn:00028188n
d004.s016.t004 bn:00000728n
d013.s001.t002 bn:00003341n
d008.s010.t005 bn:00069680n
d007.s006.t006 bn:00003601n
d010.s002.t006 bn:00064234n
d001.s008.t001 bn:00028018n
d007.s009.t013 bn:00028615n
d012.s012.t001 bn:00045976n
d008.s016.t004 bn:00018105n
d002.s006.t003 bn:00006143n
d007.s009.t014 bn:00056857n
d010.s002.t013 bn:00016403n
d007.s009.t004 bn:00073699n
d009.s021.t003 bn:00043484n
d003.s003.t006 bn:00056893n
d012.s013.t005 bn:00053941n
d003.s009.t004 bn:00014710n
d009.s032.t001 bn:00054693n
d011.s004.t005 bn:00015531n
d001.s002.t009 bn:00041712n
d009.s010.t001 bn:00023235n
d006.s027.t001 bn:00015008n
d009.s016.t001 bn:00061135n
d006.s004.t004 bn:00009472n
d005.s002.t001 bn:00034180n
d003.s002.t005 bn:00003341n
d010.s017.t005 bn:00050588n
d004.s012.t004 bn:00030747n
d003.s008.t002 bn:00068918n
d011.s004.t002 bn:00032227n
d008.s005.t003 bn:00005917n
d010.s020.t002 bn:00007051n
d010.s012.t004 bn:00070458n
d006.s020.t003 bn:00048488n
d001.s026.t010 bn:00042759n
d001.s003.t006 bn:00058511n
d001.s026.t003 bn:00046516n
d009.s007.t001 bn:00032655n
d004.s011.t008 bn:00029424n
d008.s022.t003 bn:00006845n
d006.s028.t002 bn:00023362n
d002.s014.t002 bn:00078365n
d012.s004.t001 bn:00063351n
d005.s005.t007 bn:00061119n
d009.s002.t002 bn:00050165n
d006.s020.t005 bn:00048658n
d012.s013.t003 bn:00020452n
d001.s023.t008 bn:00016756n
d001.s018.t009 bn:00023235n
d004.s013.t005 bn:00055180n
d001.s005.t004 bn:00023236n
d003.s013.t002 bn:00078738n
d001.s011.t009 bn:00078738n
d012.s002.t008 bn:00036202n
d008.s006.t005 bn:00067181n
d012.s021.t002 bn:00046019n
d013.s008.t003 bn:00025638n
d007.s004.t002 bn:00073699n
d008.s007.t005 bn:00006845n
d012.s016.t004 bn:00064608n
d012.s006.t007 bn:00048242n
d009.s030.t008 bn:00019924n
d010.s025.t002 bn:00023308n
d009.s005.t002 bn:00023235n
d006.s007.t006 bn:00048658n
d002.s015.t003 bn:00070193n
d001.s018.t008 bn:00064699n
d009.s019.t003 bn:00050165n
d002.s013.t001 bn:00073699n
d007.s001.t001 bn:00006759n
d007.s010.t005 bn:00006759n
d006.s022.t006 bn:00048488n
d005.s007.t002 bn:00001296n
d010.s014.t001 bn:00048488n
d002.s009.t003 bn:00031998n
d012.s013.t004 bn:00046021n
d007.s006.t003 bn:00020039n
d012.s019.t004 bn:00025913n
d002.s001.t002 bn:00047679n
d001.s008.t005 bn:00017123n
d010.s005.t001 bn:00048488n
d011.s007.t005 bn:00078738n
d009.s030.t002 bn:00067239n
d001.s026.t005 bn:00001170n
d010.s002.t014 bn:00023308n
d013.s019.t002 bn:00078738n
d001.s026.t008 bn:00009716n
d012.s009.t002 bn:00046019n
d001.s023.t009 bn:00010203n
d012.s002.t002 bn:00058285n
d009.s004.t002 bn:00066884n
d012.s019.t002 bn:00064527n
d012.s020.t006 bn:00061135n
d004.s017.t003 bn:00047741n
d012.s005.t003 bn:00067808n
d013.s009.t002 bn:00061119n
d012.s024.t004 bn:00077593n
d006.s013.t007 bn:00019742n
d010.s002.t003 bn:00028247n
d001.s008.t004 bn:00060158n
d010.s019.t007 bn:00023308n
d004.s011.t002 bn:00078546n
d009.s014.t002 bn:00063989n
d012.s022.t003 bn:00023235n
d008.s011.t002 bn:00054731n
d011.s002.t004 bn:00045208n
d002.s015.t002 bn:00036777n
d012.s019.t007 bn:00046021n
d009.s013.t004 bn:00023235n
d011.s013.t005 bn:00036014n
d007.s029.t003 bn:00006759n
d011.s010.t006 bn:00030861n
d001.s017.t007 bn:00012898n
d001.s011.t004 bn:00002291n
d001.s019.t008 bn:00023236n
d008.s003.t006 bn:00051054n
d008.s030.t001 bn:00067280n
d006.s005.t008 bn:00048658n
d010.s007.t002 bn:00023308n
d009.s021.t002 bn:00050165n
d012.s011.t003 bn:00008267n
d004.s019.t005 bn:00058732n
d006.s021.t006 bn:00078738n
d006.s019.t003 bn:00021624n
d005.s006.t006 bn:00047367n
d006.s022.t009 bn:00064806n
d007.s026.t002 bn:00061325n
d002.s006.t002 bn:00006752n
d009.s031.t004 bn:00078738n
d008.s012.t007 bn:00067181n
d007.s007.t006 bn:00035704n
d012.s005.t004 bn:00050521n
d001.s009.t011 bn:00061135n
d009.s018.t004 bn:00021207n
d009.s011.t005 bn:00061135n
d010.s017.t007 bn:00048488n
d008.s003.t003 bn:00029424n
d003.s009.t002 bn:00022095n
d006.s024.t001 bn:00005603n
d007.s011.t003 bn:00006759n
d006.s022.t007 bn:00048658n
d010.s009.t004 bn:00050588n
d009.s026.t004 bn:00023807n
d004.s007.t003 bn:00048592n
d013.s005.t006 bn:00030747n
d009.s012.t001 bn:00054693n
d006.s012.t002 bn:00023362n
d009.s022.t002 bn:00023235n
